Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,9.900000,10.100000,9.800000,9.974000,9.974000,944634
2019-12-30,9.908000,10.050000,9.902000,10.050000,10.050000,486659
2019-12-31,9.950000,10.045000,9.920000,10.045000,10.045000,240375
2020-01-02,10.050000,10.230000,10.050000,10.100000,10.100000,592405
2020-01-03,10.060000,10.060000,9.888000,9.924000,9.924000,580174
2020-01-06,9.870000,9.902000,9.772000,9.830000,9.830000,484452
2020-01-07,9.848000,9.964000,9.848000,9.900000,9.900000,642799
2020-01-08,9.882000,10.045000,9.860000,10.045000,10.045000,490097
2020-01-09,10.150000,10.150000,9.916000,9.916000,9.916000,547365
2020-01-10,9.978000,9.984000,9.680000,9.684000,9.684000,786252
2020-01-13,9.704000,9.814000,9.692000,9.812000,9.812000,885882
2020-01-14,9.818000,9.852000,9.690000,9.700000,9.700000,528497
2020-01-15,9.724000,9.772000,9.362000,9.486000,9.486000,1950554
2020-01-16,9.524000,9.604000,9.422000,9.466000,9.466000,904390
2020-01-17,9.540000,9.726000,9.540000,9.678000,9.678000,1412901
2020-01-20,9.806000,9.980000,9.774000,9.886000,9.886000,1276135
2020-01-21,9.850000,9.940000,9.752000,9.758000,9.758000,1457920
2020-01-22,9.822000,9.822000,9.568000,9.592000,9.592000,706457
2020-01-23,9.510000,9.694000,9.372000,9.390000,9.390000,1469416
2020-01-24,9.480000,9.604000,9.380000,9.390000,9.390000,724245
2020-01-27,9.130000,9.310000,8.730000,9.056000,9.056000,1282406
2020-01-28,9.098000,9.240000,8.944000,9.198000,9.198000,882029
2020-01-29,9.264000,9.270000,9.090000,9.104000,9.104000,623337
2020-01-30,9.100000,9.100000,8.890000,8.950000,8.950000,983290
2020-01-31,8.970000,9.050000,8.780000,8.802000,8.802000,567779
2020-02-03,8.828000,8.902000,8.778000,8.862000,8.862000,495989
2020-02-04,8.942000,9.118000,8.938000,9.060000,9.060000,606214
2020-02-05,9.130000,9.480000,9.086000,9.396000,9.396000,1049637
2020-02-06,9.470000,9.670000,9.470000,9.640000,9.640000,996414
2020-02-07,9.640000,9.652000,9.356000,9.414000,9.414000,511887
2020-02-10,9.470000,9.536000,9.332000,9.340000,9.340000,578717
2020-02-11,9.420000,9.512000,9.322000,9.478000,9.478000,821157
2020-02-12,9.524000,9.582000,9.430000,9.492000,9.492000,857984
2020-02-13,9.422000,9.470000,9.250000,9.252000,9.252000,697658
2020-02-14,9.250000,9.404000,9.240000,9.306000,9.306000,716316
2020-02-17,9.340000,9.586000,9.340000,9.412000,9.412000,657803
2020-02-18,9.340000,9.340000,9.130000,9.130000,9.130000,689265
2020-02-19,9.200000,9.250000,9.070000,9.158000,9.158000,581716
2020-02-20,9.156000,9.250000,9.122000,9.122000,9.122000,856432
2020-02-21,9.060000,9.288000,9.002000,9.280000,9.280000,883781
2020-02-24,9.040000,9.040000,8.748000,8.794000,8.794000,887905
2020-02-25,8.824000,8.856000,8.576000,8.594000,8.594000,938079
2020-02-26,8.534000,8.672000,8.350000,8.630000,8.630000,900133
2020-02-27,8.808000,8.808000,8.382000,8.468000,8.468000,1180634
2020-02-28,8.290000,8.572000,8.132000,8.362000,8.362000,1741246
2020-03-02,8.628000,8.680000,8.272000,8.456000,8.456000,1262645
2020-03-03,8.592000,8.808000,8.578000,8.620000,8.620000,1520052
2020-03-04,8.660000,8.736000,8.350000,8.402000,8.402000,1031758
2020-03-05,8.454000,8.456000,8.116000,8.178000,8.178000,1120393
