Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,74.400002,74.400002,73.120003,73.639999,73.094086,525340
2019-12-30,73.339996,73.639999,72.919998,72.919998,72.379425,672507
2019-12-31,72.699997,73.300003,72.199997,72.800003,72.260315,148692
2020-01-02,73.900002,73.959999,72.680000,72.900002,72.359573,1017011
2020-01-03,72.220001,73.260002,72.120003,73.260002,72.716904,1501358
2020-01-06,72.720001,72.900002,71.599998,72.599998,72.061798,5859678
2020-01-07,72.800003,73.599998,72.599998,73.279999,72.736755,3455890
2020-01-08,72.980003,73.419998,72.360001,73.080002,72.538239,3038175
2020-01-09,73.559998,74.440002,73.540001,74.300003,73.749199,4279440
2020-01-10,74.180000,74.599998,73.900002,74.120003,73.570534,1455648
2020-01-13,74.139999,74.580002,74.019997,74.440002,73.888161,5402353
2020-01-14,74.540001,75.540001,74.040001,75.540001,74.980003,846419
2020-01-15,74.879997,76.139999,74.580002,76.099998,76.099998,719838
2020-01-16,76.160004,76.699997,75.900002,76.699997,76.699997,672089
2020-01-17,77.000000,78.820000,76.699997,78.599998,78.599998,2199282
2020-01-20,78.300003,78.459999,77.540001,78.080002,78.080002,2929973
2020-01-21,77.400002,77.720001,76.519997,77.720001,77.720001,5227361
2020-01-22,77.779999,77.919998,77.220001,77.519997,77.519997,3405971
2020-01-23,77.059998,77.099998,75.400002,75.599998,75.599998,3944097
2020-01-24,76.239998,77.739998,76.239998,77.699997,77.699997,1610651
2020-01-27,76.260002,76.519997,72.800003,72.940002,72.940002,7253826
2020-01-28,73.620003,74.339996,72.400002,73.940002,73.940002,971128
2020-01-29,73.800003,74.160004,73.059998,73.699997,73.699997,983288
2020-01-30,72.500000,72.599998,70.919998,71.680000,71.680000,895532
2020-01-31,72.019997,72.239998,70.680000,70.820000,70.820000,890244
2020-02-03,71.180000,72.720001,70.800003,72.180000,72.180000,1048582
2020-02-04,73.120003,74.419998,72.800003,74.419998,74.419998,783278
2020-02-05,74.800003,75.540001,73.599998,73.940002,73.940002,987620
2020-02-06,74.220001,74.680000,73.519997,74.660004,74.660004,657491
2020-02-07,74.660004,74.680000,72.940002,73.320000,73.320000,632668
2020-02-10,73.260002,74.080002,73.099998,73.879997,73.879997,412811
2020-02-11,74.300003,74.519997,73.720001,74.040001,74.040001,1036627
2020-02-12,74.400002,74.400002,73.559998,74.000000,74.000000,683804
2020-02-13,73.779999,73.879997,71.839996,73.239998,73.239998,771306
2020-02-14,73.419998,73.680000,72.639999,72.839996,72.839996,1265966
2020-02-17,72.980003,73.220001,72.320000,72.959999,72.959999,1992248
2020-02-18,72.400002,73.419998,72.059998,72.900002,72.900002,517537
2020-02-19,73.019997,73.400002,72.559998,73.320000,73.320000,792724
2020-02-20,73.080002,73.379997,71.620003,71.620003,71.620003,783490
2020-02-21,71.519997,71.699997,70.500000,70.959999,70.959999,850410
2020-02-24,68.099998,68.639999,66.940002,67.139999,67.139999,1564034
2020-02-25,67.320000,67.440002,64.080002,64.339996,64.339996,2557674
2020-02-26,64.139999,64.739998,61.959999,64.099998,64.099998,2231213
2020-02-27,62.240002,62.240002,60.439999,61.480000,61.480000,2955795
2020-02-28,59.000000,66.300003,58.220001,63.500000,63.500000,3043542
2020-03-02,65.180000,66.220001,61.700001,62.500000,62.500000,2775498
2020-03-03,63.240002,64.720001,62.680000,63.040001,63.040001,1895609
2020-03-04,62.740002,62.880001,60.139999,60.560001,60.560001,2106573
2020-03-05,60.980000,61.340000,58.520000,59.000000,59.000000,1618176
2020-03-06,57.880001,58.099998,55.119999,55.939999,55.939999,1889288
2020-03-09,52.799999,55.599998,51.000000,54.380001,54.380001,3466879
2020-03-10,55.119999,55.639999,51.000000,51.939999,51.939999,2271398
