Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,5.580000,5.600000,5.570000,5.590000,5.279497,2135900
2019-12-30,5.590000,5.610000,5.540000,5.560000,5.251163,3048700
2019-12-31,5.550000,5.580000,5.540000,5.580000,5.270052,2162200
2020-01-02,5.660000,5.720000,5.630000,5.720000,5.402276,2571200
2020-01-03,5.580000,5.630000,5.570000,5.580000,5.270052,3094900
2020-01-06,5.540000,5.630000,5.540000,5.620000,5.307830,3995300
2020-01-07,5.560000,5.570000,5.520000,5.540000,5.232274,3098300
2020-01-08,5.540000,5.620000,5.540000,5.600000,5.288941,1981600
2020-01-09,5.630000,5.640000,5.590000,5.610000,5.298386,2427000
2020-01-10,5.550000,5.560000,5.490000,5.490000,5.185051,6349600
2020-01-13,5.450000,5.480000,5.420000,5.480000,5.175607,5302600
2020-01-14,5.390000,5.400000,5.360000,5.360000,5.062273,13536600
2020-01-15,5.320000,5.330000,5.270000,5.270000,4.977272,3141600
2020-01-16,5.310000,5.330000,5.290000,5.320000,5.024495,2042600
2020-01-17,5.340000,5.350000,5.310000,5.330000,5.033939,2421300
2020-01-21,5.270000,5.270000,5.210000,5.210000,4.920605,3685200
2020-01-22,5.170000,5.200000,5.150000,5.180000,4.892271,2820700
2020-01-23,5.150000,5.190000,5.100000,5.160000,4.873382,3645200
2020-01-24,5.150000,5.150000,5.020000,5.030000,4.750603,7893600
2020-01-27,4.940000,4.990000,4.920000,4.950000,4.675046,4910000
2020-01-28,5.000000,5.060000,4.990000,5.020000,4.741158,4774600
2020-01-29,5.080000,5.110000,5.060000,5.070000,4.788381,4750900
2020-01-30,5.080000,5.220000,5.080000,5.190000,4.901715,7681200
2020-01-31,5.160000,5.170000,5.090000,5.120000,4.835604,4424800
2020-02-03,5.100000,5.150000,5.090000,5.090000,4.807270,2697100
2020-02-04,5.250000,5.250000,5.200000,5.210000,4.920605,1940600
2020-02-05,5.330000,5.380000,5.310000,5.360000,5.062273,3841700
2020-02-06,5.590000,5.600000,5.550000,5.560000,5.251163,7836700
2020-02-07,5.620000,5.690000,5.600000,5.650000,5.336164,7479600
2020-02-10,5.690000,5.720000,5.650000,5.690000,5.373942,3639900
2020-02-11,5.640000,5.700000,5.640000,5.700000,5.383387,3954900
2020-02-12,5.770000,5.800000,5.770000,5.800000,5.477832,4953300
2020-02-13,5.710000,5.730000,5.690000,5.710000,5.392831,16934500
2020-02-14,5.670000,5.690000,5.630000,5.640000,5.326719,10646100
2020-02-18,5.570000,5.600000,5.520000,5.550000,5.241719,11565300
2020-02-19,5.560000,5.580000,5.510000,5.510000,5.203941,8622500
2020-02-20,5.560000,5.560000,5.470000,5.540000,5.232274,12639200
2020-02-21,5.460000,5.520000,5.440000,5.520000,5.213385,4074500
2020-02-24,5.280000,5.340000,5.260000,5.280000,4.986716,5257600
2020-02-25,5.210000,5.220000,5.040000,5.070000,4.788381,13077000
2020-02-26,5.120000,5.160000,5.040000,5.050000,4.769492,7510400
2020-02-27,4.960000,5.040000,4.880000,4.890000,4.618379,9088500
2020-02-28,4.700000,4.810000,4.630000,4.760000,4.495601,14256700
2020-03-02,4.710000,4.880000,4.640000,4.870000,4.599490,10083600
2020-03-03,4.860000,4.920000,4.650000,4.700000,4.438933,12842700
2020-03-04,4.760000,4.880000,4.700000,4.880000,4.608935,9029500
2020-03-05,4.580000,4.610000,4.500000,4.520000,4.268931,9910800
2020-03-06,4.510000,4.600000,4.460000,4.520000,4.268931,9567900
2020-03-09,3.980000,4.090000,3.850000,3.880000,3.664481,6597500
2020-03-10,4.070000,4.110000,3.880000,4.090000,3.862816,8825100
2020-03-11,4.020000,4.040000,3.840000,3.880000,3.664481,11914800
2020-03-12,3.550000,3.550000,3.270000,3.360000,3.173365,14453000
2020-03-13,3.670000,3.700000,3.280000,3.650000,3.447257,7816700
2020-03-16,2.860000,3.010000,2.850000,2.890000,2.729472,9564200
2020-03-17,2.970000,3.150000,2.910000,3.120000,2.946696,6146300
2020-03-18,2.930000,3.030000,2.800000,2.960000,2.795583,5988900
2020-03-19,2.960000,3.050000,2.920000,3.000000,2.833362,5498800
2020-03-20,3.080000,3.090000,2.900000,2.990000,2.823917,10655000
2020-03-23,3.020000,3.080000,2.920000,2.970000,2.805028,5470500
2020-03-24,3.140000,3.320000,3.060000,3.250000,3.069475,5727600
2020-03-25,3.410000,3.620000,3.270000,3.470000,3.277255,8186900
2020-03-26,3.520000,3.620000,3.500000,3.620000,3.418923,4301900
2020-03-27,3.430000,3.440000,3.310000,3.350000,3.163920,4761300
2020-03-30,3.220000,3.300000,3.160000,3.260000,3.078919,3660700
2020-03-31,3.120000,3.220000,3.040000,3.060000,2.890029,5348200
2020-04-01,2.970000,2.980000,2.900000,2.900000,2.738916,4290700
2020-04-02,2.820000,2.920000,2.800000,2.850000,2.691693,6173900
2020-04-03,2.920000,2.950000,2.870000,2.930000,2.767250,3429700
2020-04-06,3.190000,3.190000,3.120000,3.140000,2.965585,4642400
2020-04-07,3.240000,3.250000,3.050000,3.090000,3.090000,5347000
2020-04-08,3.150000,3.210000,3.110000,3.190000,3.190000,2863500
2020-04-09,3.250000,3.300000,3.180000,3.230000,3.230000,2583800
2020-04-13,3.270000,3.270000,3.130000,3.200000,3.200000,2351300
2020-04-14,3.260000,3.280000,3.150000,3.170000,3.170000,3658400
2020-04-15,3.010000,3.010000,2.910000,2.930000,2.930000,2593600
2020-04-16,2.890000,2.890000,2.790000,2.800000,2.800000,4792100
2020-04-17,2.890000,2.900000,2.840000,2.890000,2.890000,2864800
2020-04-20,2.780000,2.880000,2.750000,2.830000,2.830000,2783800
2020-04-21,2.710000,2.750000,2.640000,2.670000,2.670000,5867100
2020-04-22,2.760000,2.770000,2.720000,2.760000,2.760000,2038400
2020-04-23,2.840000,2.940000,2.790000,2.830000,2.830000,3389200
2020-04-24,2.810000,2.810000,2.730000,2.760000,2.760000,3322000
