Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,1.910000,1.932000,1.887500,1.887500,1.486423,5092837
2019-12-30,1.887000,1.922500,1.886500,1.908500,1.502961,6120167
2019-12-31,1.890000,1.902500,1.885000,1.902500,1.498236,2016010
2020-01-02,1.930000,1.989000,1.928000,1.970000,1.551392,7418310
2020-01-03,1.970000,1.970000,1.918500,1.932000,1.521467,5481062
2020-01-06,1.918000,1.922500,1.884500,1.917000,1.509655,4525086
2020-01-07,1.926500,1.937500,1.900500,1.911500,1.505323,3830248
2020-01-08,1.900000,1.917500,1.881000,1.911000,1.504929,6050589
2020-01-09,1.932000,1.939000,1.834000,1.834000,1.444291,9377039
2020-01-10,1.847500,1.847500,1.787500,1.812500,1.427360,7267076
2020-01-13,1.820500,1.822500,1.797000,1.816500,1.430510,5351490
2020-01-14,1.831000,1.855000,1.801000,1.801000,1.418303,7693259
2020-01-15,1.800000,1.810000,1.782500,1.787000,1.407278,6673711
2020-01-16,1.790000,1.810000,1.760500,1.784000,1.404916,4353207
2020-01-17,1.785000,1.826500,1.785000,1.800500,1.417910,7744103
2020-01-20,1.797000,1.800000,1.768000,1.774000,1.397041,3820099
2020-01-21,1.755000,1.761000,1.724000,1.724000,1.357665,10175084
2020-01-22,1.732000,1.736000,1.700500,1.719500,1.354121,5254312
2020-01-23,1.712000,1.741500,1.683500,1.699500,1.338371,6160763
2020-01-24,1.715500,1.730000,1.680000,1.688500,1.329709,6607115
2020-01-27,1.663000,1.681000,1.643000,1.667000,1.312777,6890978
2020-01-28,1.680000,1.691500,1.600000,1.679500,1.322621,10627183
2020-01-29,1.662500,1.707000,1.654500,1.669500,1.314746,8783888
2020-01-30,1.650000,1.683000,1.641000,1.678000,1.321440,4917283
2020-01-31,1.688000,1.702500,1.632000,1.641500,1.292696,7477959
2020-02-03,1.651000,1.677500,1.641500,1.669000,1.314352,5438939
2020-02-04,1.680000,1.707000,1.671000,1.683000,1.325377,5921597
2020-02-05,1.674000,1.716000,1.669500,1.700000,1.338765,7396386
2020-02-06,1.716000,1.750000,1.702500,1.707000,1.344278,10292630
2020-02-07,1.698500,1.715000,1.681000,1.715000,1.350578,5438001
2020-02-10,1.708000,1.721500,1.685500,1.691500,1.332071,5543455
2020-02-11,1.708500,1.710500,1.646500,1.676000,1.319865,12944411
2020-02-12,1.682500,1.740000,1.681500,1.723000,1.356878,7930685
2020-02-13,1.707500,1.718000,1.680000,1.717500,1.352546,9796229
2020-02-14,1.720000,1.731000,1.683500,1.685500,1.327346,4875323
2020-02-17,1.693500,1.713000,1.691000,1.712000,1.348215,5664136
2020-02-18,1.709500,1.751500,1.698000,1.714500,1.350184,7554311
2020-02-19,1.720000,1.733000,1.701000,1.728500,1.361209,8972716
2020-02-20,1.719000,1.749500,1.702000,1.707000,1.344278,8038506
2020-02-21,1.703500,1.711500,1.676000,1.693500,1.333646,5408048
2020-02-24,1.641500,1.663500,1.605000,1.633000,1.286002,8550920
2020-02-25,1.638500,1.638500,1.572500,1.585500,1.248595,10266557
2020-02-26,1.574000,1.607000,1.559000,1.579000,1.243476,8779694
2020-02-27,1.558000,1.558000,1.465500,1.491500,1.174569,13693452
2020-02-28,1.440000,1.471500,1.402000,1.430000,1.126138,16660898
2020-03-02,1.458500,1.463000,1.347500,1.379500,1.086368,14715255
2020-03-03,1.408000,1.491500,1.384000,1.388000,1.093062,17843759
2020-03-04,1.394000,1.418000,1.365500,1.388500,1.093456,10421729
2020-03-05,1.398500,1.398500,1.320000,1.338500,1.054081,11160746
2020-03-06,1.310500,1.335500,1.287500,1.320000,1.039512,22439676
2020-03-09,1.230000,1.239500,1.160000,1.200000,0.945011,17688925
2020-03-10,1.204500,1.263000,1.138000,1.149000,0.904848,21695266
2020-03-11,1.171500,1.228000,1.146500,1.175500,0.925717,15381447
2020-03-12,1.109000,1.148000,0.982000,0.983400,0.774436,21266879
2020-03-13,1.037000,1.080500,0.997200,1.046000,0.823734,14517917
2020-03-16,0.985400,1.004500,0.876200,0.899400,0.708285,13712164
2020-03-17,0.956400,1.040000,0.908600,1.033500,0.813890,17734220
2020-03-18,1.011500,1.148000,1.003000,1.102000,0.867835,10380776
2020-03-19,1.156000,1.270500,1.100000,1.148000,0.904060,10582436
2020-03-20,1.228000,1.260000,1.003500,1.003500,0.790265,37999249
2020-03-23,1.004000,1.010000,0.916000,0.920000,0.724508,16794940
2020-03-24,0.990000,0.990000,0.921600,0.921600,0.725768,17941661
2020-03-25,0.990000,1.000000,0.925000,0.937000,0.737896,17475846
2020-03-26,0.930000,1.072500,0.920000,1.072500,0.844603,16776572
2020-03-27,1.050000,1.073000,0.983000,1.038000,0.817434,36342298
2020-03-30,1.065000,1.065000,0.986000,1.045000,0.822947,28617468
2020-03-31,1.000000,1.028000,0.975000,1.018000,0.901554,10121259
2020-04-01,0.980000,1.003000,0.970000,0.978800,0.866838,5714494
