Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,6.572000,6.618000,6.546000,6.584000,6.395795,1372282
2019-12-30,6.592000,6.640000,6.576000,6.590000,6.401624,2051304
2019-12-31,6.550000,6.572000,6.520000,6.532000,6.345282,564270
2020-01-02,6.640000,6.716000,6.610000,6.708000,6.516251,2036822
2020-01-03,6.686000,6.686000,6.580000,6.656000,6.465737,1563464
2020-01-06,6.618000,6.700000,6.538000,6.688000,6.496822,1633922
2020-01-07,6.720000,6.744000,6.564000,6.584000,6.395795,2047249
2020-01-08,6.560000,6.608000,6.510000,6.576000,6.388024,1445961
2020-01-09,6.642000,6.650000,6.518000,6.534000,6.347224,2344960
2020-01-10,6.502000,6.536000,6.404000,6.420000,6.236483,2647357
2020-01-13,6.430000,6.434000,6.350000,6.380000,6.197627,2064232
2020-01-14,6.374000,6.378000,6.284000,6.336000,6.154884,1402306
2020-01-15,6.316000,6.330000,6.176000,6.198000,6.020829,1790383
2020-01-16,6.228000,6.272000,6.162000,6.230000,6.051914,1640716
2020-01-17,6.268000,6.342000,6.268000,6.286000,6.106313,2239407
2020-01-20,6.296000,6.298000,6.202000,6.216000,6.038314,1548604
2020-01-21,6.170000,6.230000,6.094000,6.162000,5.985858,3802741
2020-01-22,6.190000,6.190000,6.028000,6.080000,5.906202,2605507
2020-01-23,6.156000,6.336000,6.072000,6.090000,5.915916,3632878
2020-01-24,6.150000,6.198000,5.942000,5.944000,5.774089,3259807
2020-01-27,5.886000,5.950000,5.830000,5.898000,5.729404,2148315
2020-01-28,5.922000,6.042000,5.846000,5.986000,5.814889,1582756
2020-01-29,6.000000,6.040000,5.906000,5.950000,5.779918,2638171
2020-01-30,5.860000,5.966000,5.860000,5.942000,5.772147,2025368
2020-01-31,5.976000,6.004000,5.854000,5.854000,5.686662,2889030
2020-02-03,5.894000,5.914000,5.814000,5.874000,5.706090,2025633
2020-02-04,5.910000,5.990000,5.890000,5.942000,5.772147,5224257
2020-02-05,5.932000,6.090000,5.920000,6.090000,5.915916,2053848
2020-02-06,6.106000,6.240000,6.106000,6.128000,5.952830,2783223
2020-02-07,6.114000,6.152000,6.062000,6.150000,5.974201,1913599
2020-02-10,6.126000,6.178000,6.098000,6.148000,5.972258,3547000
2020-02-11,6.190000,6.208000,6.106000,6.162000,5.985858,1760697
2020-02-12,6.172000,6.314000,6.152000,6.262000,6.083000,1844756
2020-02-13,6.208000,6.296000,6.184000,6.292000,6.112142,2298469
2020-02-14,6.298000,6.334000,6.264000,6.264000,6.084942,1699741
2020-02-17,6.304000,6.322000,6.278000,6.316000,6.135456,1260867
2020-02-18,6.324000,6.340000,6.182000,6.196000,6.018886,1577627
2020-02-19,6.236000,6.246000,6.152000,6.240000,6.061628,1580119
2020-02-20,6.230000,6.260000,6.134000,6.134000,5.958658,1897814
2020-02-21,6.116000,6.128000,6.034000,6.128000,5.952830,2321922
2020-02-24,6.000000,6.006000,5.888000,5.946000,5.776032,3950628
2020-02-25,5.950000,5.968000,5.756000,5.852000,5.684720,4438740
2020-02-26,5.844000,5.870000,5.734000,5.796000,5.630320,3170786
2020-02-27,5.728000,5.744000,5.540000,5.610000,5.449637,3103959
2020-02-28,5.492000,5.502000,5.242000,5.340000,5.187355,7861348
2020-03-02,5.462000,5.462000,5.144000,5.266000,5.115470,5385733
2020-03-03,5.354000,5.442000,5.240000,5.254000,5.103814,3339999
2020-03-04,5.270000,5.322000,5.038000,5.102000,4.956159,6029952
2020-03-05,5.150000,5.150000,4.957000,5.024000,4.880388,4941579
2020-03-06,4.909000,4.980000,4.827000,4.930000,4.789075,4764541
2020-03-09,4.685000,4.697000,4.350000,4.417000,4.290739,7408530
2020-03-10,4.488000,4.704000,4.400000,4.455000,4.327653,7638337
2020-03-11,4.500000,4.745000,4.500000,4.623000,4.490851,6071560
2020-03-12,4.377000,4.422000,3.862000,3.895000,3.783661,9512076
2020-03-13,3.999000,4.236000,3.752000,3.858000,3.747718,11104413
2020-03-16,3.627000,3.682000,3.305000,3.350000,3.254240,8391061
2020-03-17,3.450000,3.600000,3.070000,3.311000,3.216355,8259705
2020-03-18,3.260000,3.350000,2.996000,3.044000,2.956987,6639507
2020-03-19,3.165000,3.423000,3.085000,3.423000,3.325153,6250637
2020-03-20,3.451000,3.645000,3.299000,3.580000,3.477665,8121260
2020-03-23,3.414000,3.749000,3.370000,3.416000,3.318353,3050137
2020-03-24,3.590000,3.600000,3.376000,3.459000,3.459000,3160379
2020-03-25,3.688000,3.688000,3.330000,3.459000,3.459000,3409673
2020-03-26,3.420000,3.498000,3.337000,3.422000,3.422000,3830437
2020-03-27,3.337000,3.382000,3.170000,3.222000,3.222000,3004408
2020-03-30,3.192000,3.260000,3.030000,3.151000,3.151000,4803002
2020-03-31,3.231000,3.344000,3.200000,3.344000,3.344000,4810719
2020-04-01,3.211000,3.262000,3.150000,3.171000,3.171000,11290167
2020-04-02,3.234000,3.304000,3.036000,3.104000,3.104000,4757274
2020-04-03,3.110000,3.118000,3.054000,3.085000,3.085000,3592810
2020-04-06,3.212000,3.224000,3.150000,3.200000,3.200000,2931237
2020-04-07,3.360000,3.474000,3.260000,3.360000,3.360000,5297699
2020-04-08,3.300000,3.326000,3.212000,3.300000,3.300000,6985264
2020-04-09,3.382000,3.538000,3.341000,3.504000,3.504000,3453636
2020-04-14,3.619000,3.642000,3.524000,3.596000,3.596000,4172713
2020-04-15,3.600000,3.600000,3.430000,3.496000,3.496000,5673771
2020-04-16,3.578000,3.623000,3.435000,3.470000,3.470000,2965989
2020-04-17,3.620000,3.649000,3.553000,3.576000,3.576000,2074553
2020-04-20,3.609000,3.625000,3.363000,3.414000,3.414000,4067522
2020-04-21,3.360000,3.367000,3.210000,3.274000,3.274000,3714804
2020-04-22,3.312000,3.448000,3.288000,3.394000,3.394000,2618637
2020-04-23,3.460000,3.600000,3.424000,3.521000,3.521000,2921191
2020-04-24,3.450000,3.505000,3.382000,3.417000,3.417000,1614271
