Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,11.410000,11.530000,11.380000,11.530000,11.530000,423099
2019-12-30,11.540000,11.540000,11.350000,11.370000,11.370000,331629
2019-12-31,11.200000,11.450000,11.190000,11.360000,11.360000,198963
2020-01-02,11.500000,11.500000,11.360000,11.390000,11.390000,284259
2020-01-03,11.340000,11.590000,11.340000,11.560000,11.560000,539271
2020-01-06,11.520000,11.570000,11.410000,11.530000,11.530000,306710
2020-01-07,11.540000,11.590000,11.390000,11.430000,11.430000,432903
2020-01-08,11.380000,11.380000,11.130000,11.230000,11.230000,682636
2020-01-09,11.270000,11.310000,11.190000,11.300000,11.300000,605441
2020-01-10,11.270000,11.390000,11.270000,11.330000,11.330000,334211
2020-01-13,11.340000,11.380000,11.260000,11.310000,11.310000,335099
2020-01-14,11.290000,11.600000,11.290000,11.560000,11.560000,475244
2020-01-15,11.540000,11.710000,11.520000,11.690000,11.690000,789422
2020-01-16,11.740000,11.780000,11.550000,11.630000,11.630000,603396
2020-01-17,11.660000,11.830000,11.650000,11.830000,11.830000,617377
2020-01-20,11.820000,11.870000,11.720000,11.770000,11.770000,289964
2020-01-21,11.750000,11.750000,11.630000,11.750000,11.750000,474800
2020-01-22,11.740000,11.820000,11.680000,11.770000,11.770000,278117
2020-01-23,11.730000,11.990000,11.700000,11.900000,11.900000,559112
2020-01-24,11.900000,12.060000,11.900000,12.030000,12.030000,393400
2020-01-27,11.940000,11.970000,11.860000,11.870000,11.870000,253122
2020-01-28,11.910000,12.040000,11.910000,12.030000,12.030000,373518
2020-01-29,12.140000,12.260000,12.020000,12.140000,12.140000,433146
2020-01-30,12.070000,12.130000,12.020000,12.070000,12.070000,361002
2020-01-31,12.090000,12.140000,11.930000,12.090000,12.090000,541905
2020-02-03,12.140000,12.180000,12.040000,12.080000,12.080000,446781
2020-02-04,12.120000,12.270000,12.090000,12.240000,12.240000,464505
2020-02-05,12.230000,12.280000,12.090000,12.250000,12.250000,294615
2020-02-06,12.280000,12.410000,12.160000,12.400000,12.400000,351302
2020-02-07,12.370000,12.730000,12.350000,12.730000,12.730000,813997
2020-02-10,12.730000,12.820000,12.570000,12.800000,12.800000,309093
2020-02-11,12.900000,13.060000,12.780000,13.030000,13.030000,582545
2020-02-12,13.090000,13.110000,12.980000,13.100000,13.100000,509985
2020-02-13,13.040000,13.080000,12.900000,13.080000,13.080000,538375
2020-02-14,13.110000,13.180000,12.970000,13.170000,13.170000,451661
2020-02-17,13.200000,13.230000,12.990000,13.000000,13.000000,417201
2020-02-18,12.990000,13.230000,12.960000,13.010000,13.010000,474877
2020-02-19,13.060000,13.130000,12.930000,13.000000,13.000000,560030
2020-02-20,12.980000,13.000000,12.790000,12.790000,12.790000,523427
2020-02-21,12.790000,12.880000,12.760000,12.850000,12.850000,546201
2020-02-24,12.590000,12.800000,12.490000,12.490000,12.490000,846685
2020-02-25,12.540000,12.690000,12.220000,12.220000,12.220000,737034
2020-02-26,12.160000,12.280000,11.970000,12.200000,12.200000,1025896
2020-02-27,12.110000,12.220000,11.740000,11.790000,11.790000,873423
2020-02-28,11.500000,11.800000,10.940000,11.520000,11.520000,1551288
2020-03-02,11.630000,11.760000,11.400000,11.520000,11.520000,948042
2020-03-03,11.650000,12.060000,11.640000,11.940000,11.940000,1562892
2020-03-04,11.990000,12.310000,11.890000,12.310000,12.310000,1104275
2020-03-05,12.340000,12.430000,12.170000,12.350000,12.350000,1023351
2020-03-06,12.210000,12.220000,11.840000,11.980000,11.980000,1047582
2020-03-09,11.100000,11.530000,10.580000,11.240000,11.240000,1032510
2020-03-10,11.350000,11.600000,10.550000,10.640000,10.640000,1674992
2020-03-11,10.680000,11.120000,10.680000,10.690000,10.690000,1292128
2020-03-12,10.290000,10.440000,8.945000,9.020000,9.020000,1684403
2020-03-13,10.520000,11.240000,8.715000,8.755000,8.755000,1408861
2020-03-16,8.425000,8.705000,7.400000,7.675000,7.675000,1674427
2020-03-17,7.720000,8.100000,7.100000,7.365000,7.365000,1590565
2020-03-18,7.155000,7.385000,6.690000,6.820000,6.820000,1257950
2020-03-19,6.875000,6.950000,6.155000,6.350000,6.350000,1321462
2020-03-20,6.590000,7.980000,6.100000,7.215000,7.215000,2440063
2020-03-23,6.745000,7.210000,6.550000,6.695000,6.695000,809903
2020-03-24,6.990000,7.235000,6.800000,6.935000,6.935000,1005726
2020-03-25,7.375000,8.365000,7.105000,7.375000,7.375000,1322986
2020-03-26,7.400000,8.500000,7.210000,7.990000,7.990000,1114960
2020-03-27,7.855000,8.390000,7.640000,8.385000,8.385000,971272
2020-03-30,8.500000,8.500000,7.940000,8.070000,8.070000,1150522
2020-03-31,8.220000,8.635000,8.115000,8.635000,8.635000,1491913
2020-04-01,8.500000,8.505000,8.135000,8.340000,8.340000,925846
2020-04-02,8.295000,8.335000,8.060000,8.150000,8.150000,814684
2020-04-03,8.100000,8.100000,7.805000,8.015000,8.015000,621682
2020-04-06,8.480000,8.880000,8.280000,8.880000,8.880000,628656
2020-04-07,9.000000,9.850000,8.525000,8.635000,8.635000,1214036
2020-04-08,8.720000,8.930000,8.550000,8.720000,8.720000,679130
2020-04-09,8.855000,9.090000,8.710000,8.840000,8.840000,607509
2020-04-14,9.075000,9.105000,8.170000,8.390000,8.390000,1406434
2020-04-15,8.200000,8.200000,7.810000,8.040000,8.040000,1719686
2020-04-16,8.070000,8.290000,7.935000,8.155000,8.155000,683149
2020-04-17,8.400000,8.640000,8.160000,8.195000,8.195000,922283
2020-04-20,8.350000,8.350000,7.805000,7.920000,7.920000,499699
2020-04-21,7.700000,7.870000,7.565000,7.610000,7.610000,518415
2020-04-22,7.870000,7.900000,7.690000,7.845000,7.845000,471353
2020-04-23,7.835000,8.040000,7.750000,7.775000,7.775000,372187
2020-04-24,7.550000,7.865000,7.550000,7.760000,7.760000,436082
2020-04-27,7.815000,8.115000,7.815000,8.000000,8.000000,545547
2020-04-28,8.550000,8.550000,7.990000,8.000000,8.000000,446218
2020-04-29,8.005000,8.880000,7.975000,8.880000,8.880000,656534
2020-04-30,8.810000,8.945000,8.535000,8.800000,8.800000,606301
2020-05-04,8.655000,8.655000,8.200000,8.305000,8.305000,564042
2020-05-05,8.450000,8.605000,8.345000,8.420000,8.420000,383255
2020-05-06,8.365000,8.410000,8.170000,8.200000,8.200000,483700
2020-05-07,8.100000,8.160000,8.000000,8.000000,8.000000,620817
2020-05-08,8.045000,8.100000,7.985000,8.045000,8.045000,286040
2020-05-11,7.970000,8.140000,7.830000,7.870000,7.870000,481432
2020-05-12,7.765000,7.810000,7.610000,7.650000,7.650000,545480
2020-05-13,7.650000,7.855000,7.395000,7.750000,7.750000,632402
2020-05-14,7.760000,7.895000,7.270000,7.670000,7.670000,712968
2020-05-15,7.795000,7.795000,7.355000,7.355000,7.355000,814842
2020-05-18,7.595000,7.620000,7.210000,7.465000,7.465000,729510
2020-05-19,7.440000,7.910000,7.400000,7.750000,7.750000,1609438
2020-05-20,7.800000,7.800000,7.100000,7.365000,7.365000,1590758
2020-05-21,7.350000,7.585000,7.140000,7.380000,7.380000,1035181
2020-05-22,7.500000,7.620000,7.240000,7.580000,7.580000,873608
2020-05-25,7.550000,7.770000,7.535000,7.705000,7.705000,441072
2020-05-26,7.800000,8.115000,7.790000,7.980000,7.980000,922240
