Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,3.622000,3.738000,3.622000,3.712000,3.712000,1201954
2019-12-30,3.686000,3.754000,3.672000,3.696000,3.696000,1498206
2019-12-31,3.668000,3.718000,3.612000,3.670000,3.670000,731818
2020-01-02,3.720000,3.840000,3.694000,3.798000,3.798000,2075046
2020-01-03,3.762000,3.776000,3.700000,3.710000,3.710000,1392036
2020-01-06,3.682000,3.682000,3.518000,3.622000,3.622000,1944903
2020-01-07,3.636000,3.648000,3.584000,3.624000,3.624000,1429393
2020-01-08,3.596000,3.628000,3.544000,3.628000,3.628000,1035511
2020-01-09,3.650000,3.664000,3.562000,3.570000,3.570000,2197761
2020-01-10,3.578000,3.580000,3.502000,3.520000,3.520000,2170227
2020-01-13,3.532000,3.608000,3.500000,3.556000,3.556000,1145557
2020-01-14,3.564000,3.564000,3.454000,3.474000,3.474000,1622395
2020-01-15,3.478000,3.536000,3.464000,3.520000,3.520000,1059862
2020-01-16,3.540000,3.736000,3.506000,3.726000,3.726000,4208199
2020-01-17,3.750000,4.030000,3.748000,4.004000,4.004000,5215953
2020-01-20,4.044000,4.050000,3.862000,3.946000,3.946000,2215459
2020-01-21,3.930000,3.988000,3.878000,3.918000,3.918000,1597786
2020-01-22,3.932000,3.958000,3.786000,3.796000,3.796000,2302001
2020-01-23,3.770000,3.808000,3.690000,3.732000,3.732000,2270350
2020-01-24,3.782000,3.920000,3.776000,3.860000,3.860000,2656879
2020-01-27,3.790000,3.794000,3.642000,3.650000,3.650000,2838883
2020-01-28,3.696000,3.746000,3.574000,3.710000,3.710000,2325657
2020-01-29,3.738000,3.804000,3.714000,3.744000,3.744000,1506040
2020-01-30,3.680000,3.770000,3.670000,3.722000,3.722000,1223495
2020-01-31,3.732000,3.768000,3.650000,3.656000,3.656000,1135880
2020-02-03,3.690000,3.700000,3.634000,3.674000,3.674000,1034495
2020-02-04,3.720000,3.828000,3.702000,3.788000,3.788000,1575203
2020-02-05,3.800000,4.030000,3.798000,3.912000,3.912000,4812413
2020-02-06,3.980000,4.008000,3.862000,3.898000,3.898000,1792922
2020-02-07,3.904000,3.904000,3.802000,3.822000,3.822000,1482875
2020-02-10,3.832000,3.876000,3.762000,3.864000,3.864000,1092196
2020-02-11,3.900000,3.928000,3.840000,3.918000,3.918000,1541959
2020-02-12,3.938000,3.966000,3.820000,3.822000,3.822000,2642484
2020-02-13,3.826000,3.828000,3.686000,3.762000,3.762000,3155036
2020-02-14,3.772000,3.798000,3.662000,3.686000,3.686000,2177421
2020-02-17,3.730000,3.782000,3.702000,3.764000,3.764000,1614306
2020-02-18,3.730000,3.766000,3.702000,3.702000,3.702000,1699370
2020-02-19,3.740000,3.748000,3.668000,3.708000,3.708000,1881331
2020-02-20,3.710000,3.728000,3.634000,3.664000,3.664000,1477410
2020-02-21,3.648000,3.704000,3.558000,3.582000,3.582000,2284160
2020-02-24,3.500000,3.548000,3.420000,3.534000,3.534000,3278438
2020-02-25,3.574000,3.574000,3.376000,3.384000,3.384000,4081725
2020-02-26,3.330000,3.426000,3.212000,3.372000,3.372000,3049579
2020-02-27,3.244000,3.302000,3.166000,3.252000,3.252000,3815367
2020-02-28,3.152000,3.260000,3.068000,3.218000,3.218000,3710255
2020-03-02,3.330000,3.352000,3.134000,3.352000,3.352000,3241923
2020-03-03,3.410000,3.584000,3.320000,3.412000,3.412000,3472014
2020-03-04,3.452000,3.488000,3.386000,3.450000,3.450000,1296891
2020-03-05,3.488000,3.496000,3.284000,3.292000,3.292000,2139588
2020-03-06,3.244000,3.258000,3.132000,3.242000,3.242000,1930770
2020-03-09,3.000000,3.176000,2.850000,3.074000,3.074000,4018827
2020-03-10,3.134000,3.282000,2.920000,2.944000,2.944000,3251451
2020-03-11,2.974000,3.080000,2.746000,2.778000,2.778000,3490591
2020-03-12,2.510000,2.630000,2.170000,2.252000,2.252000,3991077
2020-03-13,2.572000,2.572000,2.152000,2.200000,2.200000,4832115
2020-03-16,2.142000,2.172000,1.868000,2.112000,2.112000,3388509
2020-03-17,2.280000,2.346000,2.176000,2.324000,2.324000,1760723
2020-03-18,2.300000,2.488000,2.250000,2.384000,2.384000,1592671
2020-03-19,2.450000,2.540000,2.388000,2.424000,2.424000,1593239
2020-03-20,2.520000,2.586000,2.390000,2.436000,2.436000,1662325
2020-03-23,2.500000,2.530000,2.304000,2.434000,2.434000,911558
2020-03-24,2.540000,2.560000,2.390000,2.452000,2.452000,2058163
2020-03-25,2.534000,2.550000,2.380000,2.446000,2.446000,1527411
2020-03-26,2.400000,2.450000,2.364000,2.450000,2.450000,777628
2020-03-27,2.400000,2.428000,2.364000,2.396000,2.396000,596950
2020-03-30,2.384000,2.396000,2.264000,2.310000,2.310000,1006816
2020-03-31,2.370000,2.500000,2.370000,2.500000,2.500000,2235092
2020-04-01,2.450000,2.612000,2.450000,2.604000,2.604000,1689850
2020-04-02,2.636000,2.790000,2.570000,2.670000,2.670000,1639279
2020-04-03,2.741000,2.866000,2.720000,2.742000,2.742000,1560327
2020-04-06,2.860000,2.888000,2.771000,2.804000,2.804000,1253147
2020-04-07,2.870000,2.880000,2.773000,2.801000,2.801000,1533837
2020-04-08,2.815000,2.815000,2.656000,2.756000,2.756000,919928
2020-04-09,2.820000,2.820000,2.690000,2.775000,2.775000,1821911
2020-04-14,2.830000,2.844000,2.731000,2.761000,2.761000,1330401
2020-04-15,2.725000,2.788000,2.660000,2.683000,2.683000,1477215
2020-04-16,2.681000,2.719000,2.590000,2.614000,2.614000,680876
2020-04-17,2.610000,2.828000,2.610000,2.812000,2.812000,1278634
2020-04-20,2.846000,3.024000,2.803000,2.983000,2.983000,2081519
2020-04-21,2.985000,3.150000,2.920000,3.030000,3.030000,1450682
2020-04-22,3.068000,3.254000,3.050000,3.212000,3.212000,2019366
2020-04-23,3.230000,3.284000,3.034000,3.083000,3.083000,1939779
2020-04-24,3.001000,3.072000,2.914000,2.961000,2.961000,1479758
2020-04-27,3.061000,3.061000,2.995000,3.022000,3.022000,718253
2020-04-28,3.020000,3.050000,2.930000,2.944000,2.944000,1488871
2020-04-29,2.935000,3.055000,2.904000,2.970000,2.970000,1296790
2020-04-30,2.976000,3.039000,2.830000,2.930000,2.930000,1634556
2020-05-04,2.850000,2.900000,2.840000,2.857000,2.857000,829107
2020-05-05,2.930000,2.930000,2.856000,2.856000,2.856000,597309
2020-05-06,2.840000,2.846000,2.660000,2.760000,2.760000,1505300
2020-05-07,2.779000,2.800000,2.671000,2.746000,2.746000,1047237
2020-05-08,2.775000,2.800000,2.746000,2.780000,2.780000,494795
2020-05-11,2.804000,2.850000,2.700000,2.718000,2.718000,787408
2020-05-12,2.714000,2.835000,2.701000,2.825000,2.825000,787714
2020-05-13,2.756000,2.880000,2.756000,2.813000,2.813000,769727
2020-05-14,2.751000,2.788000,2.614000,2.734000,2.734000,959133
2020-05-15,2.768000,2.820000,2.707000,2.724000,2.724000,589844
2020-05-18,2.768000,2.799000,2.741000,2.777000,2.777000,888937
2020-05-19,2.798000,2.798000,2.451000,2.589000,2.589000,4263380
2020-05-20,2.590000,2.650000,2.528000,2.590000,2.590000,2080835
2020-05-21,2.598000,2.748000,2.560000,2.642000,2.642000,2567276
2020-05-22,2.668000,2.676000,2.540000,2.660000,2.660000,2657951
2020-05-25,2.704000,2.740000,2.677000,2.717000,2.717000,1149642
2020-05-26,2.720000,2.759000,2.663000,2.721000,2.721000,1853668
