Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,7.350000,7.398000,7.328000,7.372000,7.372000,861842
2019-12-30,7.352000,7.376000,7.300000,7.300000,7.300000,857080
2019-12-31,7.300000,7.362000,7.182000,7.220000,7.220000,877608
2020-01-02,7.366000,7.494000,7.364000,7.474000,7.474000,17591235
2020-01-03,7.362000,7.380000,7.238000,7.314000,7.314000,3535600
2020-01-06,7.238000,7.238000,7.024000,7.146000,7.146000,2809487
2020-01-07,7.180000,7.304000,7.168000,7.256000,7.256000,2360838
2020-01-08,7.180000,7.290000,7.050000,7.282000,7.282000,2580349
2020-01-09,7.390000,7.456000,7.314000,7.442000,7.442000,2088028
2020-01-10,7.500000,7.872000,7.464000,7.784000,7.784000,4902549
2020-01-13,7.792000,7.794000,7.610000,7.634000,7.634000,1504283
2020-01-14,7.650000,7.672000,7.518000,7.568000,7.568000,1372286
2020-01-15,7.570000,7.570000,7.402000,7.508000,7.508000,1592146
2020-01-16,7.510000,7.582000,7.410000,7.482000,7.482000,997697
2020-01-17,7.632000,8.020000,7.632000,7.876000,7.876000,4025436
2020-01-20,7.870000,7.870000,7.702000,7.706000,7.706000,1980473
2020-01-21,7.618000,7.620000,7.402000,7.490000,7.490000,7603712
2020-01-22,7.500000,7.574000,7.438000,7.538000,7.538000,2329742
2020-01-23,7.480000,7.494000,7.200000,7.220000,7.220000,2636395
2020-01-24,7.372000,7.458000,7.282000,7.340000,7.340000,2233813
2020-01-27,7.110000,7.132000,6.876000,6.956000,6.956000,4867159
2020-01-28,6.968000,7.038000,6.804000,6.984000,6.984000,2601626
2020-01-29,7.000000,7.072000,6.966000,6.992000,6.992000,2294646
2020-01-30,6.886000,6.916000,6.750000,6.808000,6.808000,2426076
2020-01-31,6.838000,6.940000,6.756000,6.756000,6.756000,1898390
2020-02-03,6.786000,6.850000,6.650000,6.758000,6.758000,1674983
2020-02-04,6.840000,7.026000,6.764000,7.014000,7.014000,2535954
2020-02-05,7.012000,7.518000,6.976000,7.278000,7.278000,4782825
2020-02-06,7.400000,7.418000,7.294000,7.318000,7.318000,2219180
2020-02-07,7.316000,7.316000,7.150000,7.182000,7.182000,1197262
2020-02-10,7.190000,7.192000,7.090000,7.164000,7.164000,1117892
2020-02-11,7.300000,7.486000,7.296000,7.452000,7.452000,2501679
2020-02-12,7.438000,7.646000,7.438000,7.606000,7.606000,2183805
2020-02-13,7.534000,7.588000,7.442000,7.558000,7.558000,1570774
2020-02-14,7.582000,7.730000,7.566000,7.666000,7.666000,2214824
2020-02-17,7.720000,7.740000,7.646000,7.694000,7.694000,1155558
2020-02-18,7.632000,7.666000,7.574000,7.600000,7.600000,1136308
2020-02-19,7.684000,7.740000,7.630000,7.712000,7.712000,1683925
2020-02-20,7.648000,7.650000,7.526000,7.550000,7.550000,1347530
2020-02-21,7.488000,7.534000,7.388000,7.448000,7.448000,2526004
2020-02-24,6.800000,6.990000,6.728000,6.746000,6.746000,5010839
2020-02-25,6.810000,6.988000,6.576000,6.600000,6.600000,6975607
2020-02-26,6.500000,6.716000,6.374000,6.620000,6.620000,5971237
2020-02-27,6.440000,6.458000,5.786000,6.034000,6.034000,6754881
2020-02-28,5.634000,5.898000,5.372000,5.504000,5.504000,9749122
2020-03-02,5.780000,5.782000,4.780000,4.961000,4.961000,13236996
2020-03-03,5.100000,5.400000,5.072000,5.324000,5.324000,11572801
2020-03-04,5.336000,5.348000,5.106000,5.144000,5.144000,7918436
2020-03-05,5.266000,5.280000,4.871000,4.896000,4.896000,7182360
2020-03-06,4.750000,5.016000,4.551000,4.970000,4.970000,10547662
2020-03-09,4.574000,4.887000,4.461000,4.781000,4.781000,12924401
2020-03-10,4.900000,5.284000,4.744000,4.793000,4.793000,9968664
2020-03-11,4.886000,4.985000,4.521000,4.541000,4.541000,8034007
2020-03-12,4.255000,4.255000,3.768000,3.785000,3.785000,12340782
2020-03-13,4.207000,4.284000,3.623000,3.946000,3.946000,7564105
2020-03-16,3.400000,3.400000,2.729000,2.845000,2.845000,17385366
2020-03-17,3.046000,3.050000,2.480000,2.616000,2.616000,14191106
2020-03-18,2.572000,2.598000,2.343000,2.352000,2.352000,9627040
2020-03-19,2.432000,2.432000,2.100000,2.127000,2.127000,9548298
