Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,9.300000,9.346000,9.250000,9.322000,9.147679,10213215
2019-12-30,9.300000,9.338000,9.282000,9.284000,9.110391,11050938
2019-12-31,9.216000,9.250000,9.174000,9.180000,9.008335,6724758
2020-01-02,9.208000,9.262000,9.184000,9.220000,9.047587,11454601
2020-01-03,9.150000,9.194000,9.116000,9.178000,9.006372,12836478
2020-01-06,9.124000,9.168000,9.076000,9.132000,8.961232,9389610
2020-01-07,9.116000,9.122000,8.954000,8.954000,8.786562,24582731
2020-01-08,8.944000,9.008000,8.906000,8.984000,8.816000,30429993
2020-01-09,8.872000,8.902000,8.812000,8.830000,8.830000,14049918
2020-01-10,8.912000,9.034000,8.850000,8.984000,8.984000,19852386
2020-01-13,8.982000,9.042000,8.926000,9.000000,9.000000,12868643
2020-01-14,9.010000,9.032000,8.942000,9.032000,9.032000,17922055
2020-01-15,9.014000,9.220000,8.990000,9.210000,9.210000,23724166
2020-01-16,9.226000,9.356000,9.202000,9.312000,9.312000,16817092
2020-01-17,9.320000,9.422000,9.314000,9.404000,9.404000,31154112
2020-01-20,9.380000,9.450000,9.378000,9.450000,9.450000,13980299
2020-01-21,9.384000,9.430000,9.360000,9.426000,9.426000,39974859
2020-01-22,9.416000,9.478000,9.398000,9.456000,9.456000,17131154
2020-01-23,9.446000,9.686000,9.440000,9.668000,9.668000,20750831
2020-01-24,9.692000,9.896000,9.692000,9.886000,9.886000,16931356
2020-01-27,9.800000,9.930000,9.794000,9.804000,9.804000,15706538
2020-01-28,9.840000,9.886000,9.792000,9.848000,9.848000,13305235
2020-01-29,9.858000,9.898000,9.810000,9.870000,9.870000,13241846
2020-01-30,9.828000,10.010000,9.824000,9.900000,9.900000,21323053
2020-01-31,9.910000,9.948000,9.796000,9.870000,9.870000,12526167
2020-02-03,9.898000,9.962000,9.866000,9.902000,9.902000,12789816
2020-02-04,9.916000,9.966000,9.890000,9.946000,9.946000,10609904
2020-02-05,9.950000,10.205000,9.900000,10.200000,10.200000,36973276
2020-02-06,10.200000,10.380000,10.160000,10.380000,10.380000,16717956
2020-02-07,10.325000,10.500000,10.275000,10.275000,10.275000,46243080
2020-02-10,10.260000,10.380000,10.220000,10.380000,10.380000,12444925
2020-02-11,10.395000,10.510000,10.340000,10.505000,10.505000,18895745
2020-02-12,10.540000,10.615000,10.420000,10.430000,10.430000,13892270
2020-02-13,10.430000,10.595000,10.365000,10.590000,10.590000,66708825
2020-02-14,10.570000,10.865000,10.560000,10.855000,10.855000,19711372
2020-02-17,10.860000,11.065000,10.830000,11.060000,11.060000,10017624
2020-02-18,10.985000,11.140000,10.965000,11.115000,11.115000,12811492
2020-02-19,11.070000,11.345000,11.025000,11.220000,11.220000,19806956
2020-02-20,11.195000,11.295000,11.035000,11.035000,11.035000,17520401
2020-02-21,10.990000,11.235000,10.980000,11.180000,11.180000,19632655
2020-02-24,10.935000,11.140000,10.880000,10.930000,10.930000,19311493
2020-02-25,10.870000,11.020000,10.660000,10.660000,10.660000,23811728
2020-02-26,10.660000,11.215000,10.550000,11.205000,11.205000,29475409
2020-02-27,11.070000,11.285000,10.730000,10.770000,10.770000,37751299
2020-02-28,10.390000,10.505000,10.140000,10.320000,10.320000,48178445
2020-03-02,10.510000,10.730000,10.245000,10.725000,10.725000,29551372
2020-03-03,10.785000,10.995000,10.740000,10.805000,10.805000,30726597
2020-03-04,10.790000,11.200000,10.715000,11.195000,11.195000,25436588
2020-03-05,11.200000,11.255000,10.925000,11.060000,11.060000,27931370
2020-03-06,10.900000,10.930000,10.470000,10.595000,10.595000,30875506
2020-03-09,9.890000,10.395000,9.764000,9.892000,9.892000,41253941
2020-03-10,9.960000,10.145000,9.336000,9.336000,9.336000,40653526
2020-03-11,9.746000,9.794000,9.316000,9.486000,9.486000,49913938
2020-03-12,9.008000,9.162000,8.008000,8.152000,8.152000,65237950
2020-03-13,8.282000,9.272000,8.226000,8.560000,8.560000,42825865
2020-03-16,8.136000,8.380000,7.760000,8.232000,8.232000,51624713
2020-03-17,8.588000,9.200000,8.520000,9.062000,9.062000,36336357
2020-03-18,8.882000,8.980000,8.456000,8.714000,8.714000,33921715
2020-03-19,8.774000,9.014000,8.528000,8.930000,8.930000,25190684
2020-03-20,9.212000,9.500000,8.740000,8.740000,8.740000,45182223
2020-03-23,8.434000,8.764000,8.250000,8.392000,8.392000,26812555
2020-03-24,8.356000,8.880000,8.344000,8.808000,8.808000,29270918
2020-03-25,9.120000,9.200000,8.414000,9.126000,9.126000,25462706
2020-03-26,8.900000,9.106000,8.750000,9.106000,9.106000,15864097
2020-03-27,8.870000,9.010000,8.700000,8.826000,8.826000,22533448
2020-03-30,8.802000,8.878000,8.500000,8.710000,8.710000,19180883
2020-03-31,8.780000,8.984000,8.662000,8.984000,8.984000,19398419
2020-04-01,8.754000,8.912000,8.688000,8.770000,8.770000,22069542
2020-04-02,8.768000,8.866000,8.432000,8.788000,8.788000,17708914
2020-04-03,8.888000,9.058000,8.792000,9.050000,9.050000,39878172
2020-04-06,9.188000,9.234000,9.016000,9.086000,9.086000,11312452
2020-04-07,9.148000,9.220000,8.964000,9.046000,9.046000,16990989
2020-04-08,8.946000,8.998000,8.780000,8.922000,8.922000,17842995
2020-04-09,8.928000,9.158000,8.780000,9.108000,9.108000,11180834
2020-04-14,9.220000,9.220000,8.960000,9.084000,9.084000,17002056
2020-04-15,9.010000,9.104000,8.812000,8.900000,8.900000,28546871
2020-04-16,9.032000,9.072000,8.872000,8.892000,8.892000,8875328
2020-04-17,8.940000,9.140000,8.910000,8.984000,8.984000,14883692
2020-04-20,9.000000,9.026000,8.836000,8.986000,8.986000,8405585
2020-04-21,8.900000,8.984000,8.744000,8.744000,8.744000,10809085
2020-04-22,8.830000,8.994000,8.792000,8.994000,8.994000,10729807
2020-04-23,8.952000,9.070000,8.850000,8.850000,8.850000,10044672
2020-04-24,8.700000,8.852000,8.656000,8.726000,8.726000,11213496
2020-04-27,8.890000,8.910000,8.772000,8.908000,8.908000,7512418
2020-04-28,8.878000,9.076000,8.840000,9.076000,9.076000,9244927
2020-04-29,8.910000,9.396000,8.906000,9.348000,9.348000,16878349
2020-04-30,9.374000,9.398000,9.086000,9.140000,9.140000,16038120
2020-05-04,8.900000,9.130000,8.876000,8.946000,8.946000,18024292
2020-05-05,8.970000,9.028000,8.812000,8.964000,8.964000,31112921
2020-05-06,8.884000,9.034000,8.858000,8.894000,8.894000,28598725
2020-05-07,8.962000,8.964000,8.812000,8.838000,8.838000,13931383
2020-05-08,8.854000,8.904000,8.772000,8.800000,8.800000,18513021
2020-05-11,8.814000,8.854000,8.626000,8.648000,8.648000,12348736
2020-05-12,8.676000,8.814000,8.648000,8.746000,8.746000,14789239
2020-05-13,8.600000,8.762000,8.600000,8.694000,8.694000,12925827
2020-05-14,8.600000,8.712000,8.402000,8.546000,8.546000,16144732
2020-05-15,8.550000,8.638000,8.496000,8.502000,8.502000,14760279
2020-05-18,8.610000,8.984000,8.550000,8.964000,8.964000,19082058
2020-05-19,9.056000,9.072000,8.818000,8.910000,8.910000,19813308
2020-05-20,8.900000,9.086000,8.870000,8.978000,8.978000,17468818
2020-05-21,8.918000,9.004000,8.880000,8.942000,8.942000,7379120
2020-05-22,8.820000,9.068000,8.774000,9.038000,9.038000,13372382
2020-05-25,9.070000,9.156000,8.974000,9.144000,9.144000,7186373
2020-05-26,9.300000,9.314000,9.172000,9.252000,9.252000,14177174
