Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,2.405000,2.420000,2.402000,2.420000,2.420000,12656715
2019-12-30,2.409000,2.420000,2.393000,2.393000,2.393000,2632142
2019-12-31,2.382000,2.402000,2.360000,2.360000,2.360000,1876403
2020-01-02,2.403000,2.419000,2.385000,2.414000,2.414000,5079865
2020-01-03,2.402000,2.403000,2.367000,2.397000,2.397000,3442884
2020-01-06,2.380000,2.402000,2.356000,2.402000,2.402000,3093285
2020-01-07,2.407000,2.425000,2.396000,2.400000,2.400000,5869726
2020-01-08,2.394000,2.412000,2.381000,2.400000,2.400000,2595017
2020-01-09,2.417000,2.424000,2.394000,2.413000,2.413000,2414757
2020-01-10,2.418000,2.418000,2.397000,2.400000,2.400000,2603899
2020-01-13,2.403000,2.429000,2.395000,2.407000,2.407000,2332059
2020-01-14,2.416000,2.419000,2.387000,2.419000,2.419000,5641121
2020-01-15,2.405000,2.410000,2.357000,2.384000,2.384000,5153168
2020-01-16,2.384000,2.402000,2.361000,2.392000,2.392000,3107148
2020-01-17,2.398000,2.434000,2.396000,2.424000,2.424000,4772275
2020-01-20,2.424000,2.440000,2.414000,2.414000,2.414000,1415199
2020-01-21,2.400000,2.422000,2.397000,2.422000,2.422000,4619647
2020-01-22,2.422000,2.432000,2.409000,2.411000,2.411000,4650155
2020-01-23,2.411000,2.418000,2.362000,2.368000,2.368000,2854584
2020-01-24,2.383000,2.410000,2.380000,2.390000,2.390000,2100181
2020-01-27,2.365000,2.370000,2.340000,2.341000,2.341000,5036689
2020-01-28,2.354000,2.378000,2.341000,2.375000,2.375000,2036353
2020-01-29,2.368000,2.392000,2.365000,2.380000,2.380000,3281143
2020-01-30,2.362000,2.373000,2.350000,2.358000,2.358000,2286677
2020-01-31,2.370000,2.370000,2.312000,2.312000,2.312000,5419479
2020-02-03,2.320000,2.336000,2.310000,2.324000,2.324000,2315540
2020-02-04,2.325000,2.364000,2.325000,2.352000,2.352000,3430395
2020-02-05,2.347000,2.392000,2.347000,2.391000,2.391000,3464517
2020-02-06,2.397000,2.420000,2.382000,2.382000,2.382000,4211609
2020-02-07,2.383000,2.397000,2.369000,2.393000,2.393000,2574704
2020-02-10,2.390000,2.401000,2.379000,2.385000,2.385000,2423100
2020-02-11,2.400000,2.412000,2.372000,2.404000,2.404000,3044108
2020-02-12,2.421000,2.445000,2.398000,2.434000,2.434000,4283306
2020-02-13,2.423000,2.436000,2.385000,2.420000,2.420000,2927463
2020-02-14,2.423000,2.429000,2.414000,2.419000,2.419000,2692259
2020-02-17,2.420000,2.425000,2.388000,2.388000,2.388000,2557987
2020-02-18,2.383000,2.396000,2.371000,2.381000,2.381000,2158104
2020-02-19,2.388000,2.405000,2.365000,2.403000,2.403000,3145874
2020-02-20,2.406000,2.421000,2.375000,2.375000,2.375000,4295474
2020-02-21,2.377000,2.379000,2.346000,2.348000,2.348000,3584976
2020-02-24,2.318000,2.318000,2.247000,2.254000,2.254000,7211052
2020-02-25,2.269000,2.269000,2.191000,2.191000,2.191000,6967269
2020-02-26,2.190000,2.197000,2.133000,2.183000,2.183000,5813945
2020-02-27,2.163000,2.165000,2.076000,2.088000,2.088000,7663606
2020-02-28,2.060000,2.066000,2.004000,2.025000,2.025000,12196628
2020-03-02,2.070000,2.072000,1.957500,1.978500,1.978500,9039220
2020-03-03,2.022000,2.047000,1.987000,1.987000,1.987000,10343774
2020-03-04,2.006000,2.023000,1.977500,2.000000,2.000000,6142994
2020-03-05,2.011000,2.016000,1.900000,1.913000,1.913000,9555587
2020-03-06,1.900000,1.918500,1.855000,1.880500,1.880500,7040838
2020-03-09,1.810000,1.810000,1.673000,1.673000,1.673000,13358642
2020-03-10,1.721500,1.787000,1.654500,1.699500,1.699500,17030523
2020-03-11,1.714500,1.753000,1.612500,1.630000,1.630000,11612932
2020-03-12,1.600000,1.610000,1.459500,1.459500,1.459500,18414999
2020-03-13,1.451000,1.668000,1.431000,1.478000,1.478000,13245742
2020-03-16,1.430000,1.456000,1.315500,1.369500,1.369500,17762318
2020-03-17,1.440000,1.677000,1.325000,1.643000,1.643000,8960581
2020-03-18,1.599000,1.738000,1.510000,1.588500,1.588500,10990620
2020-03-19,1.626000,1.720000,1.500500,1.500500,1.500500,9763451
2020-03-20,1.600000,1.600000,1.412000,1.436000,1.436000,16979601
2020-03-23,1.400000,1.454500,1.370000,1.396000,1.396000,7281216
2020-03-24,1.464500,1.565000,1.458500,1.538500,1.538500,8343808
2020-03-25,1.619500,1.686500,1.553500,1.608000,1.608000,8919562
2020-03-26,1.615500,1.648000,1.588500,1.588500,1.588500,8777668
2020-03-27,1.599500,1.626000,1.565000,1.566500,1.566500,6475982
2020-03-30,1.566500,1.575000,1.517500,1.559500,1.559500,4671740
2020-03-31,1.590000,1.622500,1.540000,1.556500,1.556500,6489250
2020-04-01,1.540000,1.628000,1.533000,1.568000,1.568000,5067599
2020-04-02,1.586000,1.620000,1.556000,1.580000,1.580000,4933379
2020-04-03,1.587000,1.606000,1.529000,1.542000,1.542000,4773359
2020-04-06,1.599000,1.649000,1.564000,1.644000,1.644000,4422034
2020-04-07,1.690000,1.780000,1.655000,1.729000,1.729000,6795099
2020-04-08,1.695000,1.701000,1.662000,1.695000,1.695000,15559631
2020-04-09,1.720000,1.760000,1.703000,1.752000,1.752000,5844715
2020-04-14,1.789000,1.789000,1.743000,1.748000,1.748000,5774954
2020-04-15,1.750000,1.751000,1.698000,1.704000,1.704000,5291364
2020-04-16,1.737000,1.744000,1.655000,1.674000,1.674000,3316853
2020-04-17,1.740000,1.745000,1.663000,1.725000,1.725000,3541984
2020-04-20,1.740000,1.740000,1.661000,1.674000,1.674000,3980507
2020-04-21,1.700000,1.700000,1.616000,1.621000,1.621000,5456911
2020-04-22,1.662000,1.662000,1.621000,1.642000,1.642000,3558913
2020-04-23,1.645000,1.656000,1.621000,1.631000,1.631000,2583320
2020-04-24,1.644000,1.644000,1.579000,1.579000,1.579000,4338494
2020-04-27,1.635000,1.635000,1.580000,1.602000,1.602000,1921574
2020-04-28,1.562000,1.661000,1.560000,1.646000,1.646000,3022554
2020-04-29,1.667000,1.729000,1.653000,1.710000,1.710000,2943566
2020-04-30,1.736000,1.750000,1.654000,1.671000,1.671000,5969479
2020-05-04,1.635000,1.668000,1.605000,1.625000,1.625000,3040379
2020-05-05,1.638000,1.650000,1.600000,1.639000,1.639000,2590206
2020-05-06,1.610000,1.625000,1.590000,1.596000,1.596000,4240925
2020-05-07,1.590000,1.640000,1.590000,1.638000,1.638000,2209042
2020-05-08,1.648000,1.648000,1.613000,1.616000,1.616000,1388847
2020-05-11,1.639000,1.645000,1.577000,1.582000,1.582000,2421057
2020-05-12,1.582000,1.601000,1.577000,1.588000,1.588000,4065873
2020-05-13,1.576000,1.587000,1.550000,1.550000,1.550000,3323574
2020-05-14,1.548000,1.554000,1.490000,1.526000,1.526000,4353303
2020-05-15,1.553000,1.580000,1.506000,1.522000,1.522000,2131356
2020-05-18,1.575000,1.581000,1.540000,1.574000,1.574000,2314597
2020-05-19,1.594000,1.594000,1.454000,1.475000,1.475000,10368015
2020-05-20,1.480000,1.488000,1.405000,1.486000,1.486000,7142932
2020-05-21,1.470000,1.517000,1.457000,1.485000,1.485000,6248367
2020-05-22,1.480000,1.530000,1.466000,1.509000,1.509000,5908119
2020-05-25,1.520000,1.545000,1.513000,1.545000,1.545000,2567604
2020-05-26,1.550000,1.624000,1.550000,1.608000,1.608000,6235653
