Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,20.000000,20.219999,19.900000,20.180000,20.180000,452874
2019-12-30,20.299999,20.299999,19.870001,19.879999,19.879999,284802
2019-12-31,19.900000,20.340000,19.730000,20.340000,20.340000,303324
2020-01-02,20.480000,20.480000,20.000000,20.100000,20.100000,517928
2020-01-03,20.200001,20.200001,19.610001,20.120001,20.120001,685269
2020-01-06,20.120001,20.120001,19.690001,19.980000,19.980000,212109
2020-01-07,19.920000,20.299999,19.920000,20.120001,20.120001,365103
2020-01-08,20.100000,20.160000,19.930000,19.959999,19.959999,464244
2020-01-09,20.139999,20.299999,19.840000,19.879999,19.879999,364693
2020-01-10,19.959999,19.959999,19.400000,19.400000,19.400000,479502
2020-01-13,19.450001,19.600000,18.959999,18.980000,18.980000,541215
2020-01-14,19.120001,19.469999,18.920000,19.340000,19.340000,369911
2020-01-15,19.350000,19.389999,19.090000,19.129999,19.129999,414170
2020-01-16,19.200001,19.540001,19.080000,19.480000,19.480000,633323
2020-01-17,19.570000,20.080000,19.549999,19.879999,19.879999,687218
2020-01-20,19.980000,20.059999,19.730000,20.020000,20.020000,284851
2020-01-21,20.080000,20.080000,19.770000,19.780001,19.780001,359885
2020-01-22,19.920000,19.920000,19.139999,19.150000,19.150000,686283
2020-01-23,19.150000,19.160000,18.719999,18.770000,18.770000,774592
2020-01-24,18.980000,19.330000,18.760000,19.230000,19.230000,529409
2020-01-27,18.900000,19.100000,18.760000,18.950001,18.950001,584724
2020-01-28,19.090000,19.389999,18.950001,19.299999,19.299999,512255
2020-01-29,19.320000,19.440001,19.139999,19.299999,19.299999,435275
2020-01-30,19.150000,19.190001,18.770000,19.150000,19.150000,547543
2020-01-31,19.230000,19.350000,18.790001,18.900000,18.900000,587056
2020-02-03,18.990000,19.059999,18.760000,19.010000,19.010000,306136
2020-02-04,19.160000,19.420000,19.049999,19.299999,19.299999,549398
2020-02-05,19.280001,19.389999,18.930000,18.950001,18.950001,603185
2020-02-06,19.100000,19.320000,19.070000,19.150000,19.150000,394642
2020-02-07,19.230000,19.309999,18.950001,19.200001,19.200001,517394
2020-02-10,19.200001,19.540001,19.129999,19.230000,19.230000,370892
2020-02-11,19.320000,19.389999,18.440001,18.500000,18.500000,1185375
2020-02-12,18.540001,18.540001,17.629999,18.230000,18.230000,1007663
2020-02-13,18.219999,18.330000,17.670000,18.209999,18.209999,716038
2020-02-14,18.230000,18.600000,18.090000,18.090000,18.090000,723308
2020-02-17,18.230000,18.240000,17.959999,18.150000,18.150000,482402
2020-02-18,18.180000,18.320000,17.959999,18.160000,18.160000,636360
2020-02-19,18.250000,18.280001,18.030001,18.100000,18.100000,476711
2020-02-20,18.120001,18.120001,17.670000,17.670000,17.670000,635925
2020-02-21,17.730000,17.730000,17.280001,17.520000,17.520000,1210947
2020-02-24,17.240000,17.469999,16.879999,17.200001,17.200001,997592
2020-02-25,17.270000,17.370001,16.879999,17.280001,17.280001,1113172
2020-02-26,17.230000,17.850000,16.850000,17.389999,17.389999,1269762
2020-02-27,17.799999,18.530001,16.990000,18.410000,18.410000,1347302
2020-02-28,18.000000,18.059999,17.120001,17.920000,17.920000,1556444
2020-03-02,18.750000,18.879999,18.160000,18.719999,18.719999,1805210
2020-03-03,18.900000,19.320000,18.750000,18.969999,18.969999,1323139
2020-03-04,19.120001,20.280001,19.000000,19.950001,19.950001,1706165
2020-03-05,19.969999,20.160000,19.820000,20.160000,20.160000,1174544
2020-03-06,19.760000,19.900000,17.870001,18.000000,18.000000,1645360
2020-03-09,17.129999,17.360001,16.549999,16.730000,16.730000,1841971
2020-03-10,17.010000,17.709999,16.629999,16.910000,16.910000,2209814
2020-03-11,17.030001,17.370001,15.340000,15.440000,15.440000,1484484
2020-03-12,17.450001,17.530001,13.660000,13.950000,13.950000,2420651
2020-03-13,14.450000,15.040000,13.320000,13.420000,13.420000,1654355
2020-03-16,12.700000,12.820000,11.280000,12.710000,12.710000,1742156
2020-03-17,13.350000,15.250000,12.090000,14.210000,14.210000,933398
2020-03-18,14.150000,14.880000,12.810000,12.970000,12.970000,901892
2020-03-19,13.240000,13.850000,12.500000,13.000000,13.000000,907756
2020-03-20,13.500000,13.750000,12.100000,12.200000,12.200000,979401
2020-03-23,12.500000,12.900000,11.650000,12.280000,12.280000,579489
2020-03-24,12.900000,13.700000,12.700000,13.700000,13.700000,764362
2020-03-25,13.750000,15.250000,13.750000,15.250000,15.250000,615731
2020-03-26,15.260000,15.420000,14.500000,15.420000,15.420000,496734
2020-03-27,15.210000,15.350000,14.330000,15.070000,15.070000,387962
2020-03-30,14.850000,15.000000,13.820000,13.960000,13.960000,786438
2020-03-31,14.610000,14.610000,13.810000,14.300000,14.300000,598827
2020-04-01,13.820000,14.000000,13.660000,13.670000,13.670000,531031
2020-04-02,13.700000,14.100000,13.620000,13.920000,13.920000,349146
2020-04-03,14.100000,14.890000,13.920000,14.510000,14.510000,582693
2020-04-06,15.400000,16.200001,15.010000,15.860000,15.860000,688070
2020-04-07,16.250000,16.730000,16.200001,16.730000,16.730000,683488
2020-04-08,16.440001,17.420000,16.200001,16.840000,16.840000,457173
2020-04-09,17.299999,17.389999,16.510000,16.620001,16.620001,266169
2020-04-14,17.340000,17.340000,16.740000,17.040001,17.040001,464727
2020-04-15,17.100000,17.129999,16.200001,16.350000,16.350000,432216
2020-04-16,16.690001,16.690001,15.860000,15.910000,15.910000,242889
2020-04-17,16.450001,16.600000,15.670000,15.790000,15.790000,317663
2020-04-20,16.030001,16.620001,15.800000,15.950000,15.950000,450994
2020-04-21,15.900000,16.129999,15.110000,15.110000,15.110000,280734
2020-04-22,15.970000,16.100000,15.380000,15.980000,15.980000,393328
2020-04-23,16.090000,16.700001,15.850000,16.600000,16.600000,510319
2020-04-24,16.200001,16.480000,16.000000,16.250000,16.250000,255841
2020-04-27,16.700001,16.709999,15.780000,16.000000,16.000000,286075
2020-04-28,16.160000,16.690001,16.000000,16.490000,16.490000,475525
2020-04-29,16.650000,17.200001,16.650000,17.139999,17.139999,383975
2020-04-30,17.070000,17.480000,16.820000,17.240000,17.240000,358383
2020-05-04,16.760000,17.129999,16.510000,16.730000,16.730000,239056
2020-05-05,16.940001,17.379999,16.299999,16.459999,16.459999,384368
2020-05-06,16.500000,16.920000,16.350000,16.629999,16.629999,282039
2020-05-07,16.700001,16.920000,16.330000,16.500000,16.500000,160176
2020-05-08,16.610001,17.090000,16.610001,16.910000,16.910000,200162
2020-05-11,17.100000,17.200001,16.400000,16.459999,16.459999,243548
2020-05-12,16.459999,16.700001,16.139999,16.360001,16.360001,280243
2020-05-13,16.299999,17.200001,16.180000,17.059999,17.059999,441773
2020-05-14,17.299999,17.480000,16.910000,17.379999,17.379999,516432
2020-05-15,17.469999,17.650000,17.340000,17.500000,17.500000,278697
2020-05-18,17.500000,17.700001,17.219999,17.600000,17.600000,247864
2020-05-19,17.740000,17.740000,16.770000,16.950001,16.950001,453202
2020-05-20,17.000000,17.520000,16.340000,17.510000,17.510000,417351
2020-05-21,17.440001,18.080000,17.260000,17.680000,17.680000,626403
2020-05-22,17.830000,17.889999,17.370001,17.690001,17.690001,270422
2020-05-25,17.930000,18.320000,17.799999,18.000000,18.000000,244022
2020-05-26,18.250000,18.379999,17.420000,17.629999,17.629999,587202
