Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,8.075000,8.080000,7.965000,8.030000,8.030000,243061
2019-12-30,7.990000,8.040000,7.915000,7.915000,7.915000,308482
2019-12-31,7.890000,7.975000,7.850000,7.860000,7.860000,105154
2020-01-02,7.940000,8.045000,7.900000,8.040000,8.040000,419840
2020-01-03,8.000000,8.090000,7.990000,8.050000,8.050000,364842
2020-01-06,8.005000,8.005000,7.790000,7.955000,7.955000,423945
2020-01-07,7.990000,8.045000,7.965000,7.985000,7.985000,249274
2020-01-08,7.915000,7.950000,7.870000,7.940000,7.940000,290169
2020-01-09,8.000000,8.065000,7.945000,8.040000,8.040000,648496
2020-01-10,8.040000,8.220000,8.030000,8.135000,8.135000,415684
2020-01-13,8.175000,8.280000,8.165000,8.250000,8.250000,538638
2020-01-14,8.275000,8.275000,8.150000,8.225000,8.225000,409243
2020-01-15,8.250000,8.335000,8.215000,8.335000,8.335000,356574
2020-01-16,8.360000,8.365000,8.210000,8.215000,8.215000,526989
2020-01-17,8.350000,8.400000,8.225000,8.335000,8.335000,633956
2020-01-20,8.350000,8.365000,8.240000,8.250000,8.250000,458256
2020-01-21,8.145000,8.275000,8.130000,8.170000,8.170000,475209
2020-01-22,8.190000,8.215000,8.060000,8.155000,8.155000,572274
2020-01-23,8.110000,8.170000,8.060000,8.060000,8.060000,541023
2020-01-24,8.150000,8.175000,7.845000,7.845000,7.845000,585009
2020-01-27,7.700000,7.725000,7.355000,7.390000,7.390000,1110890
2020-01-28,7.445000,7.675000,7.400000,7.605000,7.605000,1083764
2020-01-29,7.635000,7.700000,7.500000,7.510000,7.510000,494130
2020-01-30,7.450000,7.485000,7.190000,7.365000,7.365000,1245441
2020-01-31,7.370000,7.470000,7.230000,7.250000,7.250000,645528
2020-02-03,7.260000,7.335000,7.200000,7.320000,7.320000,630908
2020-02-04,7.365000,7.505000,7.355000,7.470000,7.470000,434863
2020-02-05,7.500000,7.670000,7.400000,7.485000,7.485000,882576
2020-02-06,7.560000,7.560000,7.390000,7.470000,7.470000,695305
2020-02-07,7.490000,7.490000,7.325000,7.400000,7.400000,742445
2020-02-10,7.400000,7.420000,7.335000,7.385000,7.385000,380735
2020-02-11,7.425000,7.525000,7.390000,7.510000,7.510000,322154
2020-02-12,7.490000,7.595000,7.490000,7.595000,7.595000,310445
2020-02-13,7.565000,7.625000,7.415000,7.475000,7.475000,470995
2020-02-14,7.505000,7.610000,7.505000,7.530000,7.530000,469831
2020-02-17,7.575000,7.595000,7.440000,7.485000,7.485000,329332
2020-02-18,7.455000,7.455000,7.330000,7.350000,7.350000,572692
2020-02-19,7.405000,7.435000,7.355000,7.390000,7.390000,564162
2020-02-20,7.360000,7.405000,7.335000,7.350000,7.350000,442439
2020-02-21,7.380000,7.385000,7.245000,7.285000,7.285000,582978
