Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,13.000000,13.000000,12.840000,12.900000,12.900000,570891
2019-12-30,12.920000,12.920000,12.720000,12.780000,12.780000,576457
2019-12-31,12.650000,12.790000,12.560000,12.790000,12.790000,199986
2020-01-02,12.890000,12.890000,12.760000,12.810000,12.810000,460980
2020-01-03,12.750000,12.820000,12.710000,12.820000,12.820000,1432326
2020-01-06,12.710000,12.820000,12.620000,12.780000,12.780000,532601
2020-01-07,12.820000,12.840000,12.630000,12.710000,12.710000,653971
2020-01-08,12.660000,12.690000,12.550000,12.570000,12.570000,966373
2020-01-09,12.660000,12.660000,12.470000,12.550000,12.550000,1108999
2020-01-10,12.590000,12.600000,12.370000,12.380000,12.380000,904418
2020-01-13,12.420000,12.460000,12.280000,12.410000,12.410000,1175123
2020-01-14,12.400000,12.490000,12.340000,12.370000,12.370000,812490
2020-01-15,12.390000,12.410000,12.150000,12.290000,12.290000,1707303
2020-01-16,12.260000,12.590000,12.260000,12.590000,12.590000,839750
2020-01-17,12.610000,12.770000,12.600000,12.680000,12.680000,826513
2020-01-20,12.700000,12.720000,12.600000,12.650000,12.650000,444023
2020-01-21,12.560000,12.690000,12.550000,12.690000,12.690000,762468
2020-01-22,12.670000,12.710000,12.600000,12.650000,12.650000,734611
2020-01-23,12.600000,12.750000,12.570000,12.730000,12.730000,799806
2020-01-24,12.750000,13.050000,12.750000,13.020000,13.020000,905830
2020-01-27,12.890000,13.000000,12.760000,12.760000,12.760000,698936
2020-01-28,12.800000,12.910000,12.800000,12.850000,12.850000,546160
2020-01-29,12.900000,13.080000,12.900000,13.010000,13.010000,1471157
2020-01-30,12.990000,13.040000,12.810000,12.850000,12.850000,766194
2020-01-31,12.870000,12.890000,12.690000,12.800000,12.800000,678645
2020-02-03,12.800000,12.930000,12.780000,12.880000,12.880000,753445
2020-02-04,12.950000,13.010000,12.900000,12.900000,12.900000,1236185
2020-02-05,12.890000,12.930000,12.820000,12.910000,12.910000,566398
2020-02-06,12.960000,12.970000,12.840000,12.900000,12.900000,1152489
2020-02-07,12.960000,13.000000,12.880000,12.910000,12.910000,803106
2020-02-10,12.930000,12.980000,12.840000,12.980000,12.980000,279820
2020-02-11,13.040000,13.180000,12.940000,13.160000,13.160000,599801
2020-02-12,13.200000,13.300000,13.130000,13.300000,13.300000,1206605
2020-02-13,13.250000,13.300000,13.030000,13.150000,13.150000,757544
2020-02-14,13.200000,13.340000,13.190000,13.330000,13.330000,805430
2020-02-17,13.360000,13.360000,13.270000,13.300000,13.300000,411074
2020-02-18,13.260000,13.380000,13.130000,13.130000,13.130000,600847
2020-02-19,13.250000,13.370000,13.230000,13.300000,13.300000,638379
2020-02-20,13.300000,13.350000,13.170000,13.260000,13.260000,519072
2020-02-21,13.230000,13.320000,13.170000,13.260000,13.260000,793494
2020-02-24,13.040000,13.090000,12.800000,12.930000,12.930000,1007667
2020-02-25,12.990000,13.060000,12.650000,12.650000,12.650000,1107811
2020-02-26,12.610000,12.690000,12.470000,12.660000,12.660000,1354978
2020-02-27,12.520000,12.630000,12.230000,12.290000,12.290000,1624375
2020-02-28,12.000000,12.070000,11.530000,11.650000,11.650000,3305600
2020-03-02,11.850000,11.860000,11.300000,11.410000,11.410000,2182514
2020-03-03,11.590000,11.840000,11.520000,11.710000,11.710000,1868400
2020-03-04,11.730000,11.910000,11.570000,11.880000,11.880000,1669225
2020-03-05,11.920000,11.920000,11.430000,11.430000,11.430000,2318916
2020-03-06,11.300000,11.350000,11.050000,11.280000,11.280000,3086176
2020-03-09,11.010000,11.220000,10.760000,11.160000,11.160000,5054011
2020-03-10,11.280000,11.500000,10.100000,10.700000,10.700000,3528662
2020-03-11,10.910000,11.050000,10.670000,10.700000,10.700000,3220384
2020-03-12,10.500000,10.500000,9.200000,9.425000,9.425000,7807170
2020-03-13,9.585000,10.330000,9.515000,9.800000,9.800000,5259975
2020-03-16,9.390000,9.510000,8.660000,9.290000,9.290000,7745632
2020-03-17,9.300000,9.635000,8.650000,8.850000,8.850000,6350619
2020-03-18,8.515000,9.150000,7.940000,8.250000,8.250000,2619323
2020-03-19,8.330000,8.370000,7.170000,7.800000,7.800000,4325196
2020-03-20,7.900000,8.160000,7.415000,7.415000,7.415000,4434386
2020-03-23,7.540000,7.620000,6.680000,6.705000,6.705000,3638887
2020-03-24,7.020000,7.340000,6.740000,7.285000,7.285000,3557602
2020-03-25,7.500000,7.570000,6.955000,7.100000,7.100000,3409945
2020-03-26,7.125000,7.370000,6.900000,7.340000,7.340000,2609432
2020-03-27,7.275000,7.275000,6.900000,7.000000,7.000000,2640979
2020-03-30,7.100000,7.105000,6.730000,6.730000,6.730000,1983337
2020-03-31,6.900000,7.050000,6.810000,6.870000,6.870000,3368642
2020-04-01,6.800000,7.230000,6.780000,7.140000,7.140000,2072741
2020-04-02,7.240000,7.290000,6.935000,6.960000,6.960000,2545293
2020-04-03,7.060000,7.270000,6.980000,7.100000,7.100000,2238753
2020-04-06,7.545000,7.545000,7.055000,7.070000,7.070000,2028191
2020-04-07,7.355000,8.290000,7.195000,8.085000,8.085000,3671561
2020-04-08,8.070000,8.145000,7.810000,7.920000,7.920000,2066667
2020-04-09,8.050000,8.400000,7.910000,8.320000,8.320000,2128883
2020-04-14,8.420000,8.450000,7.940000,7.970000,7.970000,2858232
2020-04-15,8.075000,8.075000,7.550000,7.660000,7.660000,1869692
2020-04-16,7.770000,7.990000,7.530000,7.580000,7.580000,2040212
2020-04-17,7.790000,7.990000,7.440000,7.525000,7.525000,1592150
2020-04-20,7.760000,7.760000,7.350000,7.385000,7.385000,878503
2020-04-21,7.275000,7.350000,7.130000,7.210000,7.210000,1193056
2020-04-22,7.500000,7.500000,7.260000,7.380000,7.380000,858351
2020-04-23,7.200000,7.510000,7.165000,7.420000,7.420000,961284
2020-04-24,7.410000,7.410000,7.160000,7.255000,7.255000,1548822
2020-04-27,7.475000,7.475000,7.255000,7.255000,7.255000,729546
2020-04-28,7.360000,7.750000,7.350000,7.615000,7.615000,645228
2020-04-29,7.650000,7.930000,7.590000,7.900000,7.900000,790334
2020-04-30,8.140000,8.470000,8.010000,8.460000,8.460000,3517599
2020-05-04,8.500000,8.500000,7.620000,7.760000,7.760000,2549343
2020-05-05,7.930000,7.990000,7.565000,7.570000,7.570000,1604952
2020-05-06,7.530000,7.735000,7.410000,7.600000,7.600000,1040019
