Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,4.130000,4.160000,4.130000,4.130000,4.130000,5083200
2019-12-30,4.150000,4.160000,4.130000,4.130000,4.130000,6090200
2019-12-31,4.110000,4.150000,4.110000,4.140000,4.140000,4380400
2020-01-02,4.280000,4.320000,4.240000,4.320000,4.320000,8285800
2020-01-03,4.180000,4.220000,4.180000,4.190000,4.190000,6606900
2020-01-06,4.160000,4.210000,4.150000,4.210000,4.210000,5867500
2020-01-07,4.160000,4.170000,4.130000,4.130000,4.130000,7084600
2020-01-08,4.130000,4.160000,4.120000,4.120000,4.120000,7896500
2020-01-09,4.170000,4.170000,4.130000,4.150000,4.150000,7702400
2020-01-10,4.130000,4.130000,4.080000,4.090000,4.090000,7573400
2020-01-13,4.060000,4.100000,4.030000,4.100000,4.100000,6670700
2020-01-14,3.990000,4.010000,3.980000,3.980000,3.980000,9973100
2020-01-15,3.960000,3.970000,3.930000,3.940000,3.940000,11049000
2020-01-16,4.010000,4.040000,4.000000,4.030000,4.030000,8555700
2020-01-17,4.080000,4.080000,4.040000,4.080000,4.080000,6442700
2020-01-21,4.000000,4.020000,3.970000,3.970000,3.970000,7871700
2020-01-22,3.930000,3.970000,3.910000,3.960000,3.960000,9561500
2020-01-23,3.960000,3.970000,3.910000,3.960000,3.960000,10291700
2020-01-24,3.940000,3.940000,3.850000,3.880000,3.880000,11085200
2020-01-27,3.810000,3.850000,3.790000,3.810000,3.810000,7727500
2020-01-28,3.850000,3.900000,3.840000,3.880000,3.880000,9326500
2020-01-29,4.060000,4.080000,4.030000,4.050000,4.050000,12985000
2020-01-30,4.000000,4.080000,3.990000,4.080000,4.080000,12810700
2020-01-31,3.930000,3.950000,3.900000,3.920000,3.920000,12883800
2020-02-03,3.900000,3.940000,3.890000,3.910000,3.910000,7640000
2020-02-04,4.020000,4.040000,4.010000,4.010000,4.010000,6576400
2020-02-05,4.130000,4.140000,4.110000,4.140000,4.140000,9067800
2020-02-06,4.200000,4.200000,4.150000,4.180000,4.180000,10217800
2020-02-07,4.170000,4.190000,4.150000,4.170000,4.170000,7485700
2020-02-10,4.140000,4.160000,4.120000,4.150000,4.150000,5633100
2020-02-11,4.170000,4.190000,4.150000,4.170000,4.170000,6534000
2020-02-12,4.240000,4.260000,4.230000,4.250000,4.250000,8628800
2020-02-13,4.220000,4.240000,4.200000,4.230000,4.230000,8197800
2020-02-14,4.220000,4.230000,4.170000,4.180000,4.180000,6296100
2020-02-18,4.180000,4.200000,4.150000,4.160000,4.160000,8549000
2020-02-19,4.190000,4.200000,4.160000,4.170000,4.170000,4967600
2020-02-20,4.160000,4.170000,4.100000,4.140000,4.140000,6714900
2020-02-21,4.040000,4.070000,4.020000,4.040000,4.040000,8593800
2020-02-24,3.860000,3.890000,3.840000,3.870000,3.870000,10308500
2020-02-25,3.840000,3.840000,3.700000,3.730000,3.730000,19060900
2020-02-26,3.810000,3.850000,3.760000,3.760000,3.760000,16027800
2020-02-27,3.680000,3.780000,3.650000,3.650000,3.650000,20715300
2020-02-28,3.600000,3.680000,3.550000,3.660000,3.660000,21865200
2020-03-02,3.580000,3.670000,3.520000,3.660000,3.660000,21305300
2020-03-03,3.700000,3.730000,3.510000,3.530000,3.530000,23705700
2020-03-04,3.620000,3.700000,3.560000,3.690000,3.690000,14461400
2020-03-05,3.460000,3.480000,3.390000,3.400000,3.400000,19737700
2020-03-06,3.390000,3.450000,3.340000,3.400000,3.400000,19321400
2020-03-09,3.000000,3.120000,2.940000,2.970000,2.970000,13181900
2020-03-10,3.130000,3.140000,2.950000,3.120000,3.120000,16416800
2020-03-11,3.060000,3.090000,2.940000,2.970000,2.970000,22938300
2020-03-12,2.720000,2.720000,2.490000,2.520000,2.520000,23908500
2020-03-13,2.700000,2.720000,2.420000,2.710000,2.710000,16711600
2020-03-16,2.110000,2.320000,2.110000,2.200000,2.200000,17817100
2020-03-17,2.210000,2.420000,2.160000,2.420000,2.420000,12795500
2020-03-18,2.230000,2.260000,2.040000,2.160000,2.160000,11017700
2020-03-19,2.160000,2.220000,2.140000,2.180000,2.180000,8780500
2020-03-20,2.230000,2.260000,2.150000,2.190000,2.190000,15675800
2020-03-23,2.290000,2.320000,2.200000,2.260000,2.260000,10841100
2020-03-24,2.450000,2.520000,2.380000,2.480000,2.480000,9094800
2020-03-25,2.540000,2.720000,2.470000,2.620000,2.620000,13225500
2020-03-26,2.640000,2.710000,2.610000,2.650000,2.650000,13087300
2020-03-27,2.500000,2.560000,2.450000,2.460000,2.460000,9744500
2020-03-30,2.350000,2.480000,2.330000,2.460000,2.460000,8618700
2020-03-31,2.400000,2.420000,2.330000,2.350000,2.350000,8163800
2020-04-01,2.300000,2.310000,2.250000,2.250000,2.250000,3798200
2020-04-02,2.270000,2.360000,2.250000,2.290000,2.290000,4790500
2020-04-03,2.250000,2.250000,2.200000,2.230000,2.230000,5057600
2020-04-06,2.350000,2.400000,2.340000,2.390000,2.390000,6462200
2020-04-07,2.500000,2.500000,2.340000,2.390000,2.390000,8905700
2020-04-08,2.380000,2.420000,2.350000,2.420000,2.420000,4725100
2020-04-09,2.410000,2.420000,2.330000,2.330000,2.330000,14565900
2020-04-13,2.370000,2.370000,2.290000,2.340000,2.340000,4750400
2020-04-14,2.350000,2.370000,2.280000,2.310000,2.310000,10076400
2020-04-15,2.200000,2.220000,2.150000,2.170000,2.170000,7381500
2020-04-16,2.160000,2.160000,2.100000,2.110000,2.110000,6599800
2020-04-17,2.160000,2.160000,2.110000,2.140000,2.140000,7535700
2020-04-20,2.060000,2.130000,2.050000,2.070000,2.070000,8396900
2020-04-21,2.040000,2.060000,2.010000,2.020000,2.020000,12755700
2020-04-22,2.080000,2.090000,2.050000,2.050000,2.050000,4357400
2020-04-23,2.090000,2.160000,2.060000,2.080000,2.080000,5105500
2020-04-24,2.080000,2.090000,2.030000,2.050000,2.050000,4644700
2020-04-27,2.070000,2.110000,2.050000,2.110000,2.110000,5570800
2020-04-28,2.240000,2.250000,2.160000,2.180000,2.180000,8678700
2020-04-29,2.310000,2.340000,2.270000,2.330000,2.330000,8210100
2020-04-30,2.200000,2.210000,2.150000,2.170000,2.170000,6238500
2020-05-01,2.170000,2.170000,2.120000,2.150000,2.150000,4034100
2020-05-04,2.130000,2.160000,2.100000,2.120000,2.120000,4225400
2020-05-05,2.100000,2.130000,2.090000,2.090000,2.090000,4951700
2020-05-06,2.100000,2.100000,2.040000,2.050000,2.050000,4758200
2020-05-07,2.070000,2.090000,2.050000,2.070000,2.070000,5440500
2020-05-08,2.140000,2.140000,2.110000,2.130000,2.130000,3833900
2020-05-11,2.080000,2.080000,2.050000,2.060000,2.060000,6816300
2020-05-12,2.090000,2.100000,2.020000,2.020000,2.020000,6759900
2020-05-13,2.020000,2.030000,1.970000,1.970000,1.970000,7114200
2020-05-14,1.900000,2.010000,1.900000,1.990000,1.990000,10177000
2020-05-15,1.950000,1.970000,1.930000,1.970000,1.970000,6612000
2020-05-18,2.010000,2.130000,1.990000,2.120000,2.120000,7943800
2020-05-19,1.980000,1.990000,1.940000,1.950000,1.950000,20611900
2020-05-20,1.980000,2.040000,1.970000,2.020000,2.020000,10723300
2020-05-21,2.030000,2.070000,2.000000,2.020000,2.020000,7947800
2020-05-22,2.070000,2.080000,2.020000,2.080000,2.080000,16970400
2020-05-26,2.200000,2.260000,2.180000,2.230000,2.230000,18666900
