Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,6.328000,6.417000,6.314000,6.414000,6.414000,14788693
2019-12-30,6.376000,6.424000,6.320000,6.320000,6.320000,15077576
2019-12-31,6.293000,6.300000,6.200000,6.227000,6.227000,7967845
2020-01-02,6.280000,6.359000,6.260000,6.332000,6.332000,18745661
2020-01-03,6.319000,6.352000,6.260000,6.337000,6.337000,23660471
2020-01-06,6.307000,6.345000,6.228000,6.345000,6.345000,7527476
2020-01-07,6.345000,6.379000,6.241000,6.249000,6.249000,12480889
2020-01-08,6.237000,6.267000,6.157000,6.161000,6.161000,20622100
2020-01-09,6.198000,6.230000,6.162000,6.181000,6.181000,12306386
2020-01-10,6.189000,6.207000,6.133000,6.179000,6.179000,10062615
2020-01-13,6.182000,6.185000,6.078000,6.097000,6.097000,19125319
2020-01-14,6.096000,6.098000,6.049000,6.066000,6.066000,16683877
2020-01-15,6.062000,6.066000,5.980000,6.037000,6.037000,17461350
2020-01-16,6.021000,6.100000,5.992000,6.100000,6.100000,12206027
2020-01-17,6.130000,6.165000,6.115000,6.150000,6.150000,35435596
2020-01-20,6.206000,6.323000,6.169000,6.317000,6.317000,21495345
2020-01-21,6.283000,6.390000,6.259000,6.332000,6.332000,45447986
2020-01-22,6.368000,6.368000,6.224000,6.267000,6.267000,22833275
2020-01-23,6.249000,6.265000,6.136000,6.182000,6.182000,16960518
2020-01-24,6.195000,6.220000,6.105000,6.118000,6.118000,16638176
2020-01-27,6.070000,6.104000,6.026000,6.042000,6.042000,10797241
2020-01-28,6.098000,6.275000,6.067000,6.269000,6.269000,14423037
2020-01-29,6.250000,6.295000,6.188000,6.200000,6.200000,11989599
2020-01-30,6.150000,6.183000,6.122000,6.159000,6.159000,14895119
2020-01-31,6.153000,6.220000,6.101000,6.109000,6.109000,16763083
2020-02-03,6.150000,6.169000,6.080000,6.110000,6.110000,13244365
2020-02-04,6.140000,6.212000,6.120000,6.177000,6.177000,9970287
2020-02-05,6.160000,6.187000,6.125000,6.159000,6.159000,14572011
2020-02-06,6.170000,6.251000,6.169000,6.222000,6.222000,11833490
2020-02-07,6.208000,6.231000,6.186000,6.216000,6.216000,8946934
