Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,5.510000,5.600000,5.510000,5.584000,5.584000,267944
2019-12-30,5.580000,5.588000,5.518000,5.576000,5.576000,291074
2019-12-31,5.520000,5.660000,5.504000,5.660000,5.660000,292443
2020-01-02,5.628000,5.664000,5.574000,5.616000,5.616000,393671
2020-01-03,5.608000,5.622000,5.540000,5.596000,5.596000,456799
2020-01-06,5.610000,5.644000,5.538000,5.606000,5.606000,337977
2020-01-07,5.646000,5.728000,5.640000,5.670000,5.670000,404862
2020-01-08,5.660000,5.666000,5.580000,5.658000,5.658000,205022
2020-01-09,5.658000,5.658000,5.530000,5.530000,5.530000,453963
2020-01-10,5.576000,5.576000,5.440000,5.478000,5.478000,416448
2020-01-13,5.502000,5.530000,5.420000,5.438000,5.438000,331308
2020-01-14,5.430000,5.496000,5.390000,5.496000,5.496000,395550
2020-01-15,5.450000,5.456000,5.382000,5.448000,5.448000,362214
2020-01-16,5.476000,5.476000,5.386000,5.448000,5.448000,266600
2020-01-17,5.470000,5.550000,5.450000,5.484000,5.484000,265061
2020-01-20,5.528000,5.620000,5.496000,5.518000,5.518000,426034
2020-01-21,5.504000,5.550000,5.476000,5.492000,5.492000,422992
2020-01-22,5.550000,5.550000,5.328000,5.336000,5.336000,644372
2020-01-23,5.340000,5.366000,5.240000,5.240000,5.240000,542662
2020-01-24,5.258000,5.284000,5.156000,5.200000,5.200000,515277
2020-01-27,5.150000,5.184000,5.100000,5.170000,5.170000,396228
2020-01-28,5.150000,5.196000,5.120000,5.176000,5.176000,186719
2020-01-29,5.152000,5.214000,5.134000,5.134000,5.134000,356314
2020-01-30,5.134000,5.152000,5.064000,5.088000,5.088000,438699
2020-01-31,5.152000,5.152000,4.951000,4.951000,4.951000,594271
2020-02-03,4.903000,4.983000,4.876000,4.960000,4.960000,540833
2020-02-04,5.042000,5.042000,4.898000,4.979000,4.979000,663002
2020-02-05,5.008000,5.118000,4.943000,5.072000,5.072000,625316
2020-02-06,5.110000,5.190000,5.090000,5.090000,5.090000,491332
2020-02-07,5.124000,5.134000,5.010000,5.106000,5.106000,473500
2020-02-10,5.124000,5.134000,5.074000,5.084000,5.084000,604524
2020-02-11,5.138000,5.138000,4.980000,4.982000,4.982000,630628
2020-02-12,4.986000,5.164000,4.986000,5.132000,5.132000,811308
2020-02-13,5.114000,5.116000,5.014000,5.064000,5.064000,441333
2020-02-14,5.026000,5.118000,5.012000,5.086000,5.086000,625595
2020-02-17,5.086000,5.252000,5.062000,5.132000,5.132000,943643
2020-02-18,5.138000,5.194000,5.014000,5.046000,5.046000,543598
2020-02-19,5.056000,5.064000,4.960000,5.012000,5.012000,463061
2020-02-20,5.012000,5.062000,4.972000,5.000000,5.000000,402482
2020-02-21,5.004000,5.012000,4.933000,4.942000,4.942000,460963
2020-02-24,4.664000,4.770000,4.540000,4.582000,4.582000,1438472
2020-02-25,4.679000,4.762000,4.610000,4.688000,4.688000,1029131
2020-02-26,4.710000,4.926000,4.650000,4.866000,4.866000,981171
2020-02-27,4.970000,4.970000,4.584000,4.619000,4.619000,1703336
2020-02-28,4.540000,4.700000,4.413000,4.570000,4.570000,1912213
2020-03-02,4.644000,4.661000,4.300000,4.375000,4.375000,1288473
2020-03-03,4.480000,4.537000,4.372000,4.395000,4.395000,1245321
2020-03-04,4.403000,4.460000,4.219000,4.241000,4.241000,893386
2020-03-05,4.245000,4.251000,3.942000,3.956000,3.956000,2139529
2020-03-06,3.900000,3.961000,3.785000,3.940000,3.940000,1231938
2020-03-09,3.750000,3.750000,3.500000,3.595000,3.595000,2151732
2020-03-10,3.669000,3.810000,3.589000,3.672000,3.672000,2035725
2020-03-11,3.780000,3.808000,3.462000,3.546000,3.546000,3423876
2020-03-12,3.450000,3.450000,3.010000,3.023000,3.023000,2091054
2020-03-13,3.012000,3.321000,2.964000,3.147000,3.147000,1167058
2020-03-16,3.051000,3.056000,2.756000,2.890000,2.890000,1483642
2020-03-17,2.995000,3.300000,2.800000,2.950000,2.950000,1292558
2020-03-18,2.853000,3.110000,2.800000,2.810000,2.810000,1145436
2020-03-19,2.834000,2.920000,2.735000,2.851000,2.851000,699160
2020-03-20,2.980000,3.025000,2.750000,2.800000,2.800000,827397
2020-03-23,2.760000,2.800000,2.620000,2.666000,2.666000,692083
2020-03-24,2.810000,2.850000,2.725000,2.850000,2.850000,773008
2020-03-25,2.938000,3.153000,2.894000,3.153000,3.153000,1309143
2020-03-26,3.188000,3.200000,3.037000,3.200000,3.200000,759293
2020-03-27,3.360000,3.400000,3.120000,3.200000,3.200000,912416
2020-03-30,3.200000,3.260000,3.020000,3.222000,3.222000,604816
2020-03-31,3.290000,3.572000,3.250000,3.376000,3.376000,689090
2020-04-01,3.302000,3.302000,3.160000,3.202000,3.202000,596971
2020-04-02,3.210000,3.234000,3.102000,3.182000,3.182000,416598
2020-04-03,3.280000,3.280000,3.070000,3.070000,3.070000,578051
2020-04-06,3.280000,3.284000,3.120000,3.284000,3.284000,389843
2020-04-07,3.350000,3.470000,3.286000,3.378000,3.378000,740180
2020-04-08,3.370000,3.370000,3.220000,3.356000,3.356000,463558
2020-04-09,3.438000,3.440000,3.300000,3.350000,3.350000,398758
2020-04-14,3.560000,3.560000,3.360000,3.370000,3.370000,1004237
2020-04-15,3.380000,3.430000,3.326000,3.326000,3.326000,672449
2020-04-16,3.310000,3.390000,3.294000,3.298000,3.298000,464367
2020-04-17,3.400000,3.400000,3.350000,3.400000,3.400000,297912
2020-04-20,3.458000,3.458000,3.346000,3.352000,3.352000,223179
2020-04-21,3.346000,3.378000,3.286000,3.310000,3.310000,297791
2020-04-22,3.270000,3.378000,3.270000,3.374000,3.374000,256103
2020-04-23,3.350000,3.404000,3.336000,3.338000,3.338000,291023
2020-04-24,3.300000,3.332000,3.272000,3.296000,3.296000,208458
2020-04-27,3.330000,3.376000,3.270000,3.302000,3.302000,195925
2020-04-28,3.350000,3.350000,3.236000,3.240000,3.240000,426416
2020-04-29,3.288000,3.302000,3.238000,3.248000,3.248000,411256
2020-04-30,3.320000,3.326000,3.240000,3.274000,3.274000,533633
2020-05-04,3.250000,3.250000,3.120000,3.126000,3.126000,357048
2020-05-05,3.170000,3.190000,3.030000,3.060000,3.060000,523581
2020-05-06,3.040000,3.094000,3.000000,3.032000,3.032000,430258
2020-05-07,3.086000,3.200000,3.032000,3.150000,3.150000,528229
2020-05-08,3.152000,3.216000,3.146000,3.216000,3.216000,394760
2020-05-11,3.250000,3.310000,3.212000,3.272000,3.272000,674778
2020-05-12,3.202000,3.314000,3.202000,3.300000,3.300000,407415
2020-05-13,3.300000,3.318000,3.260000,3.300000,3.300000,466912
